gene_name	chr	predicted_gex_rank
SMARCAL1	chr2	0.7212975678977693
IL1RL2	chr2	0.3246628978544693
NTSR2	chr2	0.38168200989835704
MPV17	chr2	0.7002311930846374
EHD3	chr2	0.615141814162388
LYG2	chr2	0.3014925609716743
PLEKHB2	chr2	0.329848388837808
RBMS1	chr2	0.40829393585168783
OSGEPL1	chr2	0.618023232370625
OSR1	chr2	0.45817189357827975
CYTIP	chr2	0.30514693908576895
MZT2A	chr2	0.6189258414503224
BZW1	chr2	0.4714406777129588
PDCL3	chr2	0.3940595500506825
LY75	chr2	0.5396980534907783
CCDC148	chr2	0.6812370533450577
ITGAV	chr2	0.36312192890554085
PDE11A	chr2	0.35250217471495204
MARCHF4	chr2	0.5971807687625005
CCDC93	chr2	0.6887940060436025
KCNK12	chr2	0.5735897685125844
WDR35	chr2	0.8011793994246439
TGFBRAP1	chr2	0.36095493305848264
EPC2	chr2	0.66911958707421
ERLEC1	chr2	0.7698821066782526
LGALSL	chr2	0.5981941589643227
ALLC	chr2	0.3712277081737005
PELI1	chr2	0.6520208308055409
CNNM4	chr2	0.6911356723819028
SRBD1	chr2	0.3679875501410969
CACNB4	chr2	0.5327191922275383
C1QL2	chr2	0.5025768770325145
DDX1	chr2	0.7141718678441025
BIN1	chr2	0.7203941527281792
GAL3ST2	chr2	0.3306016521295321
TRIM43	chr2	0.3060858767417468
PSME4	chr2	0.7823822892342903
ODC1	chr2	0.5123363413900585
FBXO48	chr2	0.6458874055297241
CIB4	chr2	0.3930193005764349
INO80D	chr2	0.42727179584619596
KANSL1L	chr2	0.3443258965998228
TTC30B	chr2	0.5567126075111587
ACYP2	chr2	0.5325860970513381
ACOXL	chr2	0.34767046347403363
VAMP8	chr2	0.5689488359936907
C2orf15	chr2	0.7050382940104786
PRKD3	chr2	0.390229009890432
HSPE1	chr2	0.807077857928174
ST6GAL2	chr2	0.6585777992455653
NCL	chr2	0.7514916143032904
PID1	chr2	0.3391445205453697
RTN4	chr2	0.723373086285661
CYP1B1	chr2	0.4425397637970393
SNTG2	chr2	0.33265863138609636
FOSL2	chr2	0.48716588290460494
EIF4E2	chr2	0.3986263709670591
TTC27	chr2	0.3208810576089752
C1GALT1C1L	chr2	0.36497815025317604
ATG9A	chr2	0.4092122072246066
PECR	chr2	0.359290129493712
EVX2	chr2	0.31578816079844657
D2HGDH	chr2	0.3584590010666252
GPD2	chr2	0.310177198151692
SPAG16	chr2	0.7144822486990561
SMC6	chr2	0.3417225886341016
KIF1A	chr2	0.7846589842350201
ANXA4	chr2	0.33769264114047665
RAB6D	chr2	0.3524428240517646
AQP12B	chr2	0.30483561958345756
UGT1A8	chr2	0.3100239693754139
NCOA1	chr2	0.31753704517350834
STARD7	chr2	0.8624782961059433
UGT1A6	chr2	0.3360453440764603
SP9	chr2	0.4204579950109185
GPN1	chr2	0.3518396523846847
UXS1	chr2	0.3591469107688723
MATN3	chr2	0.5371514602190575
NT5DC4	chr2	0.332945423303039
METAP1D	chr2	0.5756148724178655
CUL3	chr2	0.3545740991435825
IL1RN	chr2	0.30993078138475083
ANKRD39	chr2	0.7670881585833114
SAG	chr2	0.33579229843040803
DYSF	chr2	0.3171809418392636
IFIH1	chr2	0.5533819956343959
XIRP2	chr2	0.3213073111552226
TTC30A	chr2	0.5773087767102194
UPP2	chr2	0.3275730654019305
NDUFAF7	chr2	0.5841122128629587
PAX8	chr2	0.30074845773751346
BCS1L	chr2	0.5498191681033753
WDR33	chr2	0.7341447612434292
CCDC138	chr2	0.8159218212401308
SNX17	chr2	0.6933259154304798
SERTAD2	chr2	0.6124656847646218
DUSP2	chr2	0.5682078159155587
ICOS	chr2	0.31728109300337765
POLE4	chr2	0.6583436315872818
RBKS	chr2	0.346619724509011
MTIF2	chr2	0.6988773415079377
SLC25A12	chr2	0.5602004199454781
COL5A2	chr2	0.35318092765013065
MOB1A	chr2	0.7648966500560566
KCNE4	chr2	0.33963892884622765
TTC31	chr2	0.5842355450212423
TDRD15	chr2	0.3123164431305118
GPC1	chr2	0.31673583069551026
CFAP65	chr2	0.30623729914397646
RHOQ	chr2	0.5995428981830482
ANKMY1	chr2	0.6194089294654539
RETSAT	chr2	0.3476126193600133
ICA1L	chr2	0.6261506472001925
FTCDNL1	chr2	0.5710760786770036
IGFBP2	chr2	0.4333014069660296
SLC5A7	chr2	0.5545829222286425
EVA1A	chr2	0.3780075950483088
CERS6	chr2	0.7164108865933436
FER1L5	chr2	0.331017463482733
ID2	chr2	0.6336723052113067
ATP5MC3	chr2	0.6663563834362243
TSGA10	chr2	0.3394457437556738
UBE2E3	chr2	0.5730844137200517
MRPL53	chr2	0.565836645525892
TRIP12	chr2	0.3737785446659756
HK2	chr2	0.39869538340863453
USP40	chr2	0.36095099962975463
RGPD8	chr2	0.287989434072946
TGFA	chr2	0.45421855364418234
POTEF	chr2	0.31855593806974186
ORMDL1	chr2	0.4534476976008568
AAK1	chr2	0.33974781676913396
DES	chr2	0.3374149330052517
RANBP2	chr2	0.7733606971030852
SGPP2	chr2	0.47015956822158866
EDAR	chr2	0.4189042176242951
AP1S3	chr2	0.7750250179497181
SP140L	chr2	0.3033234491457445
PTPRN	chr2	0.4740688759509153
FOXD4L1	chr2	0.2895442940642382
SLC30A6	chr2	0.6693135008934619
NIFK	chr2	0.71016633965415
SEMA4C	chr2	0.41918767216162395
CCL20	chr2	0.3171315489708526
FBLN7	chr2	0.46809451730998675
TRPM8	chr2	0.3788402334060149
CASP8	chr2	0.3220581589488459
PLGLB1	chr2	0.29138622363736155
COPS8	chr2	0.7016293742648024
ITGA6	chr2	0.3868322361747899
PRADC1	chr2	0.6232729694083965
TEX261	chr2	0.6474525680322333
STAT4	chr2	0.3383003552252183
ZRANB3	chr2	0.746208024233135
CDK15	chr2	0.3360905236853013
CYBRD1	chr2	0.6968296020999281
GKN2	chr2	0.29821985526541084
MCM6	chr2	0.40744252329970526
ADCY3	chr2	0.3782809508333856
DIS3L2	chr2	0.6240638359682793
PROM2	chr2	0.3659886419790753
ZFAND2B	chr2	0.6700558914316398
GPATCH11	chr2	0.6834416522355473
DCDC2C	chr2	0.32607167933483316
CATIP	chr2	0.4646375825464643
CAPN10	chr2	0.6549838237621549
SCN9A	chr2	0.6616377706840912
TEX37	chr2	0.34233643819134085
HTRA2	chr2	0.6875460098468923
TGOLN2	chr2	0.694039428887617
USP39	chr2	0.7927681091604978
DGUOK	chr2	0.6907829592387617
UGT1A4	chr2	0.31045286062559346
PFN4	chr2	0.47830837136224275
ECEL1	chr2	0.4095821221351129
TTLL4	chr2	0.6601342037683878
SNRPG	chr2	0.7606249517183439
EIF2B4	chr2	0.791780071398865
MAP4K4	chr2	0.38830747846897185
MAT2A	chr2	0.7552167080348945
PRKAG3	chr2	0.33991110247625195
ADAM17	chr2	0.8360621202400205
CALCRL	chr2	0.4512696608581299
NABP1	chr2	0.3196134886106722
LNPK	chr2	0.7442183357991901
PPM1G	chr2	0.7782517001551817
E2F6	chr2	0.3239508402958813
STON1	chr2	0.5125167284035902
MERTK	chr2	0.34684388851215847
YWHAQ	chr2	0.8820080341329982
NDUFA10	chr2	0.7469364469029858
MORN2	chr2	0.625765719924758
FZD5	chr2	0.7408810428058057
HPCAL1	chr2	0.601055505532252
BOLL	chr2	0.5017938419469493
RAB1A	chr2	0.8004257232339329
MCEE	chr2	0.6645054750557498
KHK	chr2	0.6112008988486457
GNLY	chr2	0.3086871334687459
C2orf76	chr2	0.6237936650232632
SNORC	chr2	0.3176583642562633
FAM117B	chr2	0.6452756293148718
RNF144A	chr2	0.6307181519228519
POLR1A	chr2	0.37785684151962595
SP5	chr2	0.47803260613904647
CXCR1	chr2	0.29929251950423785
CEBPZ	chr2	0.4213561948708292
TOGARAM2	chr2	0.3861612371765391
DUSP28	chr2	0.49663208000814646
NEMP2	chr2	0.8040370064684641
CENPO	chr2	0.6806795121356075
LIMS2	chr2	0.3311643104741717
ZNF804A	chr2	0.32708873031181274
DBI	chr2	0.7144791357717055
TMEM18	chr2	0.6716471477311015
SUCLG1	chr2	0.4291817874571458
PPP4R3B	chr2	0.7835646958755095
PPM1B	chr2	0.6741657495214513
TRABD2A	chr2	0.36241544299422745
GPR148	chr2	0.31993797856996636
CNOT9	chr2	0.682690256964165
CD28	chr2	0.3309262079293653
GTDC1	chr2	0.32235455388037887
SLC16A14	chr2	0.48200027150991537
TLK1	chr2	0.7665281963165853
FSIP2	chr2	0.346028131272056
ELMOD3	chr2	0.363794508400052
SPAST	chr2	0.7938423043579916
DUSP11	chr2	0.5075590452981855
ARHGEF4	chr2	0.35022298016185427
IL36G	chr2	0.29706589072941575
RHOB	chr2	0.5327534520863996
METTL5	chr2	0.6625008922133793
IDH1	chr2	0.8028089687461601
DRC1	chr2	0.5476451759368016
THAP4	chr2	0.44193930070732856
COBLL1	chr2	0.6311560341952994
KYNU	chr2	0.33356533673490224
BABAM2	chr2	0.5844253989860857
UBR3	chr2	0.34486272592973405
TEX51	chr2	0.30838016604677754
FASTKD2	chr2	0.5345556733628853
CPS1	chr2	0.3378163436985675
ANKRD44	chr2	0.3020988097769807
CNRIP1	chr2	0.40316317143503777
SLC40A1	chr2	0.34490534547494495
VRK2	chr2	0.7102152328633495
NFE2L2	chr2	0.6724127821103474
ROCK2	chr2	0.3524804556725011
ACP1	chr2	0.5707616547998622
ANTXR1	chr2	0.6644980822766808
SFTPB	chr2	0.3081994173009035
ATOH8	chr2	0.3301799373977148
CAPN14	chr2	0.5264411706610991
DAW1	chr2	0.5665775002950383
MAP3K2	chr2	0.37613368534713454
LRP1B	chr2	0.34017561242329747
ABCB6	chr2	0.6721601336897935
LTBP1	chr2	0.3117226184709544
NYAP2	chr2	0.36994560875697735
WDR43	chr2	0.4244452361096179
ITGB6	chr2	0.3106634947009392
TAF1B	chr2	0.8215706964937779
ZDBF2	chr2	0.6994939464221307
RPL31	chr2	0.6605058570474679
TWIST2	chr2	0.44874413840478117
HOXD3	chr2	0.4385914371660225
RND3	chr2	0.5699814546259452
VWC2L	chr2	0.4464865670461718
NDUFB3	chr2	0.6650205436457396
CPO	chr2	0.327451530178963
MMADHC	chr2	0.6642935380013933
MBD5	chr2	0.5785153819067427
TMEM131	chr2	0.717978287243886
GALM	chr2	0.6527670878774678
ACMSD	chr2	0.3152888286976786
C2orf49	chr2	0.6487824283633417
SH3RF3	chr2	0.4068959327924496
KRTCAP3	chr2	0.6360855333358242
ACTR3	chr2	0.3666099585693581
CCDC150	chr2	0.36439218664872863
FAM240C	chr2	0.35417730197364466
RAPGEF4	chr2	0.3183791006933002
NT5C1B	chr2	0.3272939202301501
LONRF2	chr2	0.34621517975329097
UGT1A1	chr2	0.3058515792125222
ATP6V1B1	chr2	0.37805760215463313
XDH	chr2	0.3102649176416086
VPS54	chr2	0.7092317662895595
CHRNG	chr2	0.2988257993415687
PLEKHA3	chr2	0.608046920477727
LYPD6	chr2	0.6044420973132516
TEX44	chr2	0.3007839831880767
GIGYF2	chr2	0.6979144351234661
GCC2	chr2	0.3773430555348744
NMI	chr2	0.3780109397391043
STRADB	chr2	0.7232073082891424
KIAA2012	chr2	0.36438999584947956
REEP1	chr2	0.4654918921627277
OLA1	chr2	0.8150944159470696
STON1-GTF2A1L	chr2	0.3215550243601316
MFSD6	chr2	0.3167667029182749
HIBCH	chr2	0.3033207586812475
SGO2	chr2	0.34705716233359035
STK16	chr2	0.7975711563969956
C2orf73	chr2	0.5920303857666274
ZNF385B	chr2	0.3176264244402791
HTR2B	chr2	0.32735412263878727
OR6B3	chr2	0.2926883328714579
AGPS	chr2	0.7381896641783576
TMSB10	chr2	0.5749452875001025
GALNT13	chr2	0.31401217856682156
FAP	chr2	0.3206133097475807
ILKAP	chr2	0.7937748538914418
ZNF513	chr2	0.3955144520675549
LAPTM4A	chr2	0.4073587363627308
HECW2	chr2	0.6375828144064166
ARHGAP25	chr2	0.3233580754022316
SLC39A10	chr2	0.4307446889625409
DLX1	chr2	0.4231603216911853
TRAF3IP1	chr2	0.7379795674289145
SF3B1	chr2	0.7581829934893989
TRIB2	chr2	0.5296191505853398
FKBP7	chr2	0.5587130307395402
RTP5	chr2	0.2946342174649168
ZEB2	chr2	0.4205423125501846
PARD3B	chr2	0.5918753320797189
FABP1	chr2	0.31399672583613575
CFC1B	chr2	0.29293243030298155
BOLA3	chr2	0.3507610936899762
GLS	chr2	0.35344885664138986
KLHL30	chr2	0.3121679185287208
PDIA6	chr2	0.3411883200909338
TANK	chr2	0.61398350200501
DAPL1	chr2	0.36629663648955063
CTNNA2	chr2	0.6062536304186077
CLK1	chr2	0.4376020402096226
PASK	chr2	0.6550999276695227
AAMP	chr2	0.4054525911153097
TRAPPC12	chr2	0.3430842590142217
GULP1	chr2	0.3932950814926772
TBR1	chr2	0.3221396256689556
LY75-CD302	chr2	0.508975250910206
SP140	chr2	0.3216257283067594
C2orf68	chr2	0.7682162444946105
THADA	chr2	0.3408293589820154
MDH1	chr2	0.5791108853913018
WDR12	chr2	0.39944778946694404
NHEJ1	chr2	0.8007953301968722
GCKR	chr2	0.3157606862398289
NCAPH	chr2	0.7584151266959119
CRYGB	chr2	0.32798530934620596
SPC25	chr2	0.6181328004769856
UBE2F-SCLY	chr2	0.7710944956270005
ACSL3	chr2	0.38964685094710466
STAT1	chr2	0.8100171540588678
ATL2	chr2	0.7527860774682444
RNF25	chr2	0.5906680758981054
SPOPL	chr2	0.33481783989072395
CDK5R2	chr2	0.518478067599337
MPHOSPH10	chr2	0.40338489683975737
RNPEPL1	chr2	0.3116704245447758
SLC23A3	chr2	0.3098315799665604
CAD	chr2	0.4155665657010915
M1AP	chr2	0.470494102050914
TMEM127	chr2	0.753448084583525
PRPF40A	chr2	0.6946706738349743
MAB21L4	chr2	0.325132895235137
PCGF1	chr2	0.5943592042618014
GEMIN6	chr2	0.7335105664684684
SULT1C4	chr2	0.3325676501071611
ACADL	chr2	0.435109911513484
RFTN2	chr2	0.37173620437388794
WNT6	chr2	0.4504466918283536
ASB1	chr2	0.7347412121333827
LCT	chr2	0.3258339512089087
RAB3GAP1	chr2	0.6204065639380237
DNER	chr2	0.4411888437505094
ANKAR	chr2	0.320127593412873
TMEFF2	chr2	0.5180702152971702
NMUR1	chr2	0.42429240625184794
TIGD1	chr2	0.7785179561865911
EIF2AK2	chr2	0.38197454248833884
HOXD11	chr2	0.3714593320211195
OBSL1	chr2	0.3974569335434048
BUB1	chr2	0.4265642227745716
FN1	chr2	0.3508872977467939
BMP10	chr2	0.29629502497971955
KCNK3	chr2	0.4507104402404135
NIF3L1	chr2	0.7641875350351313
COL6A3	chr2	0.3422156071816374
ANKZF1	chr2	0.7402613523010517
SP100	chr2	0.3537119354164941
PUS10	chr2	0.39037324868776335
MTA3	chr2	0.40598473795940426
MAP3K20	chr2	0.5518591198892334
SCG2	chr2	0.3875353258639643
LOXL3	chr2	0.5891563133713567
TMEM185B	chr2	0.5782496199803904
TP53I3	chr2	0.6571535773980683
DNAJC27	chr2	0.795783607540402
PKP4	chr2	0.3738619272055156
TNP1	chr2	0.2836985913412368
C2orf88	chr2	0.5796616067922702
REG1A	chr2	0.305523528022157
TMEM17	chr2	0.3505206499470447
ACVR1C	chr2	0.4804026834071095
TTN	chr2	0.33042016033141824
SPR	chr2	0.4898396856872803
CHMP3	chr2	0.6467800903319229
FBXO41	chr2	0.6442946954652814
MROH2A	chr2	0.30655740774518286
GLB1L	chr2	0.3683680802063288
SMPD4	chr2	0.6045998588650783
RALB	chr2	0.5420849365170284
PEX13	chr2	0.620463491273164
EPB41L5	chr2	0.7860651843835541
UBXN4	chr2	0.4245481646033798
EFR3B	chr2	0.31127035896464483
SCRN3	chr2	0.6336817983485131
ABCG5	chr2	0.3301655006027282
DNAH6	chr2	0.48845745409484354
AUP1	chr2	0.8283754542706987
TIA1	chr2	0.44227062823537383
RPE	chr2	0.6508049564660691
FOXN2	chr2	0.7406798376326673
INPP1	chr2	0.4277787049249026
KDM3A	chr2	0.3751522193023842
TANC1	chr2	0.5781642609906232
RTKN	chr2	0.7522068232962114
INPP5D	chr2	0.32690187364490153
B3GNT7	chr2	0.5498737708802603
DDX18	chr2	0.39916149432068715
HDLBP	chr2	0.45050644803597467
AQP12A	chr2	0.3062758652430683
RBM43	chr2	0.6107121793125598
PTMA	chr2	0.6972281371499398
TFCP2L1	chr2	0.3082734929477576
EEF1B2	chr2	0.8399067661802452
ZC3H6	chr2	0.7912948004127125
COX5B	chr2	0.6803012029731399
FIGLA	chr2	0.4291426946338864
BAZ2B	chr2	0.48680488502024205
WDCP	chr2	0.6190090377422004
RAB6C	chr2	0.33428406599968186
MPP4	chr2	0.3660679789003939
PLA2R1	chr2	0.3357440905266918
UBXN2A	chr2	0.6894977126620044
DCAF17	chr2	0.3617040799105891
GGCX	chr2	0.7058847705153094
CYRIA	chr2	0.4195495463304136
ACVR1	chr2	0.628892671429894
SPDYA	chr2	0.3060754627498884
MAP3K19	chr2	0.3133179763267476
C2orf66	chr2	0.3193345841446118
MTLN	chr2	0.31621424861788416
CYP26B1	chr2	0.44347046421600556
ZSWIM2	chr2	0.5351096165984516
IMMT	chr2	0.8163997097207811
PIGF	chr2	0.7842741396318276
RETREG2	chr2	0.6640615452242159
STK39	chr2	0.3372925982885037
PSMD1	chr2	0.6163803274722162
TTC7A	chr2	0.7003845482991383
TMEM177	chr2	0.6893601591504476
COX7A2L	chr2	0.3393542998021273
FKBP1B	chr2	0.719760240125286
TUBA3D	chr2	0.3001737679187458
MZT2B	chr2	0.56472402042764
CTLA4	chr2	0.29595416532970453
CCDC74A	chr2	0.34443972640146714
SCLY	chr2	0.4137318452695726
CKAP2L	chr2	0.789502068151595
CTDSP1	chr2	0.4859847775107994
KLHL29	chr2	0.29980447987472114
WDPCP	chr2	0.5553476711052584
KIF3C	chr2	0.7918533821562282
EPHA4	chr2	0.31576909636774775
RHBDD1	chr2	0.39535753423343817
FRZB	chr2	0.5274111246479267
DHRS9	chr2	0.3248435126226855
SLC9A4	chr2	0.3111549080566861
ALKAL2	chr2	0.41632031657084323
ANKRD36C	chr2	0.2968430312130724
CXCR4	chr2	0.5291248252696883
RGPD3	chr2	0.3148952977324212
KLF11	chr2	0.48311186331798944
ARHGAP15	chr2	0.33069336180223996
IL1B	chr2	0.30830003835083686
GPBAR1	chr2	0.3169915796917639
DYTN	chr2	0.3057350233009562
ECRG4	chr2	0.3924512314100906
TLX2	chr2	0.43768666584601224
INHBB	chr2	0.3972093026222282
CMPK2	chr2	0.31227080569120397
RMDN2	chr2	0.5793333656526993
QPCT	chr2	0.3263770255919879
CREB1	chr2	0.8036306136874275
MEIS1	chr2	0.310307742622851
SF3B6	chr2	0.662589100138973
MAP2	chr2	0.33590213279797015
SNRNP27	chr2	0.4016948598434066
TTC21B	chr2	0.7538602553959557
NEB	chr2	0.38820085609270993
PNO1	chr2	0.41730574586642427
PPP1R1C	chr2	0.4149528970768158
ABCB11	chr2	0.3204685437938291
TMEM237	chr2	0.64171092614317
DPYSL5	chr2	0.5153028725380756
MYO7B	chr2	0.3987839190319453
RAD51AP2	chr2	0.4867684798565929
TMEM163	chr2	0.31492953897865467
PPP1CB	chr2	0.758593243858099
MFSD2B	chr2	0.3793943654389618
PLEKHM3	chr2	0.5723727506520193
CYP27A1	chr2	0.42927904141817086
NXPH2	chr2	0.5039354125126814
GBX2	chr2	0.48759498953157976
IL1F10	chr2	0.30448900005752766
FHL2	chr2	0.4536981115596085
MOGAT1	chr2	0.5992175994207931
ITSN2	chr2	0.5221812716519411
ASXL2	chr2	0.749237940609158
SPTBN1	chr2	0.376023331103866
OR6B2	chr2	0.27391149727292863
KIDINS220	chr2	0.6447424976718122
CNOT11	chr2	0.4252957070798874
INSIG2	chr2	0.718165400270577
