gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
ADAM2	chr8	39743735	39838227	39838177	39838227	-	0.0
OR6M1	chr11	123805408	123806349	123806337	123806387	-	0.0
MCF2L2	chr3	183178041	183428778	183180263	183180313	-	0.288212760965847
C3orf18	chr3	50558025	50571027	50567701	50567751	-	4.99568785674135
CLEC4E	chr12	8533305	8540905	8540855	8540905	-	0.0
TXN	chr9	110243810	110256507	110245066	110245116	-	0.0
CD109	chr6	73695785	73828316	73792654	73792704	+	0.0
CNTNAP3	chr9	39064710	39288315	39088423	39088473	-	0.0
MAD1L1	chr7	1815793	2233243	2230611	2230661	-	0.0
CYP51A1	chr7	92084987	92134803	92134480	92134530	-	35.1619568378333
ALK	chr2	29192774	29921586	29717650	29717700	-	0.0
CABP4	chr11	67452406	67461752	67452418	67452468	+	0.0
MYF5	chr12	80716912	80719671	80716911	80716961	+	0.0
NUP42	chr7	23181841	23201011	23194402	23194452	+	0.0
APEH	chr3	49674014	49683971	49674359	49674409	+	328.082192899456
TMEM41B	chr11	9280654	9314636	9314583	9314633	-	176.386209711098
SEC61A2	chr10	12129637	12169961	12129693	12129743	+	26.9959286104677
PDE2A	chr11	72576141	72674591	72674400	72674450	-	0.288212760965847
SI	chr3	164978898	165078496	165075964	165076014	-	0.0
KIF3B	chr20	32277651	32335011	32277663	32277713	+	1.7292765657950802
ARHGDIB	chr12	14942031	14961728	14961216	14961266	-	0.0
RGS11	chr16	268301	275980	275930	275980	-	0.480354601609745
NQO2	chr6	2987987	3019755	3000157	3000207	+	0.0
APBB1	chr11	6395125	6419414	6419061	6419111	-	18.2534748611703
TBC1D3I	chr17	36355285	36366216	36264503	36264553	-	0.0
PBK	chr8	27809624	27838082	27837759	27837809	-	24.402013761775105
VPS37A	chr8	17246931	17302427	17247122	17247172	+	0.0
FAS	chr10	88953813	89029605	88990851	88990901	+	1.7292765657950802
GTF3C2	chr2	27325849	27357034	27337258	27337308	-	0.0
P4HA1	chr10	73007217	73096974	73096800	73096850	-	87.23239565232971
ZNF680	chr7	64519878	64563075	64563025	64563075	-	0.0
NT5DC1	chr6	116100851	116249497	116110851	116110901	+	0.096070920321949
GPR6	chr6	109978256	109980720	109979112	109979162	+	0.0
CNNM2	chr10	102918294	103090222	102918292	102918342	+	19.2141840643898
LRP4	chr11	46856717	46918642	46889637	46889687	-	0.0
RAET1L	chr6	150018334	150025532	150025482	150025532	-	0.0
RGL4	chr22	23688136	23699176	23691305	23691355	+	0.0
NUP43	chr6	149724315	149749665	149746502	149746552	-	131.61716084107002
PSMC5	chr17	63827152	63832026	63827445	63827495	+	332.117171552978
HSPA12B	chr20	3732685	3753111	3732666	3732716	+	22.768808116301894
CSTF2T	chr10	51695486	51699595	51699541	51699591	-	58.89147415735479
SPPL2C	chr17	45844881	45847067	45844834	45844884	+	0.0
CLPSL1	chr6	35781019	35793675	35781016	35781066	+	0.096070920321949
MRO	chr18	50795120	50825402	50819786	50819836	-	0.0
TUT1	chr11	62575045	62591637	62591587	62591637	-	0.0
NHLRC3	chr13	39038306	39050109	39038317	39038367	+	25.6509357259604
TYSND1	chr10	70137981	70146700	70146626	70146676	-	44.5769070293843
QRICH1	chr3	49029707	49094363	49093561	49093611	-	1.7292765657950802
AP3S1	chr5	115841592	115914081	115895086	115895136	+	0.0
BSX	chr11	122977570	122981834	122981670	122981720	-	0.0
CHD6	chr20	41402083	41618384	41499294	41499317	-	0.0
B3GALT4	chr6	33255053	33256746	33278687	33278737	+	0.0
RNF216	chr7	5620047	5781696	5649965	5650015	-	0.0
LRFN2	chr6	40391591	40587364	40587415	40587465	-	0.288212760965847
CCDC28A	chr6	138773769	138793319	138773768	138773818	+	52.5507934161061
PRPSAP1	chr17	76309478	76384521	76384471	76384521	-	0.0
OR5T1	chr11	56275639	56276619	56275638	56275688	+	0.0
PPP1R2B	chr5	156850295	156852528	156850562	156850612	+	0.0
ADH7	chr4	99412261	99435510	99430241	99430291	-	0.0
PTPN18	chr2	130356045	130375405	130358949	130358975	+	0.0
MET	chr7	116672196	116798377	116758516	116758566	+	0.0
KCNIP2	chr10	101825974	101843920	101843518	101843568	-	0.0
ENDOD1	chr11	95089846	95132645	95089809	95089859	+	1.53713472515118
TAAR5	chr6	132588592	132589741	132589636	132589686	-	0.0
EPM2AIP1	chr3	36985043	36993131	36992890	36992940	-	0.0
MAMDC4	chr9	136850943	136860799	136852366	136852416	+	0.0
CDK7	chr5	69234793	69277413	69234872	69234922	+	119.127941199217
IFNA7	chr9	21201469	21202205	21202155	21202205	-	0.0
CYLC2	chr9	102995311	103018488	102995310	102995360	+	0.0
SMG6	chr17	2059839	2303785	2214299	2214349	-	0.0
GJB6	chr13	20221962	20232365	20232345	20232395	-	0.0
RGPD4	chr2	107826892	107892544	107826936	107826986	+	0.0
OST4	chr2	27070472	27071654	27071600	27071649	-	33.8169639533261
TRA2A	chr7	23504780	23532041	23531973	23532023	-	204.823202126395
SNTB1	chr8	120535745	120813273	120812093	120812143	-	0.96070920321949
OR5V1	chr6	29355241	29431509	29431917	29431967	-	0.0
ARHGDIA	chr17	81867721	81871378	81870924	81870974	-	0.0
GATA5	chr20	62463497	62475995	62475929	62475970	-	0.0
ITPRIPL2	chr16	19113932	19121629	19113931	19113981	+	0.672496442253643
UNCX	chr7	1232872	1237326	1232906	1232956	+	0.0
RBM18	chr9	122237622	122264840	122264789	122264839	-	16.4281273750533
MCPH1	chr8	6406592	6648508	6406642	6406689	+	95.5905657203393
CDCA3	chr12	6844793	6851292	6851242	6851292	-	120.809182304851
SMC1B	chr22	45344063	45413619	45413569	45413619	-	1.53713472515118
FOXP2	chr7	114086327	114693772	114416285	114416335	+	0.0
WDFY4	chr10	48684873	48982956	48684875	48684925	+	0.0
PTTG1IP2	chr7	90469639	90513397	90469786	90469836	+	0.0
NDUFS1	chr2	206114817	206159509	206159375	206159425	-	185.609018062006
USP13	chr3	179653032	179804366	179653049	179653099	+	4.03497865352186
DNAL4	chr22	38778508	38794198	38794148	38794198	-	23.8255882398434
SPATA2	chr20	49903391	49915529	49913689	49913739	-	0.0
AADACL2	chr3	151744454	151770036	151733926	151733976	+	0.0
OR3A3	chr17	3411370	3424070	3420567	3420617	+	0.0
KRT1	chr12	52674736	52680407	52680357	52680407	-	0.0
ZNF502	chr3	44712639	44723827	44712645	44712695	+	18.6377585424581
DMAC1	chr9	7796500	7888380	7800098	7800148	-	0.0
PTCH1	chr9	95442980	95517057	95516608	95516658	-	0.0
SEPTIN8	chr5	132750819	132807241	132777211	132777261	-	0.96070920321949
SUDS3	chr12	118376555	118418033	118403500	118403517	+	0.0
SPATA2L	chr16	89696357	89701705	89701655	89701705	-	9.414950191551
SLC15A2	chr3	121894401	121944188	121894439	121894489	+	0.672496442253643
ADO	chr10	62804720	62808479	62804856	62804906	+	35.642311439443105
FEZF2	chr3	62369681	62374324	62372965	62373015	-	0.0
ISM1	chr20	13221274	13300651	13221770	13221820	+	0.288212760965847
GFRA4	chr20	3659248	3663399	3663353	3663399	-	0.0
HTRA1	chr10	122458551	122514907	122461524	122461574	+	1.7292765657950802
CASP2	chr7	143288215	143307696	143291617	143291667	+	0.0
CACNA2D4	chr12	1791963	1918666	1918616	1918666	-	1.92141840643898
SRRM3	chr7	76201896	76287288	76234981	76235031	+	0.0
FLI1	chr11	128686535	128813267	128692981	128693031	+	0.0
GRHL1	chr2	9951693	10002277	9951692	9951742	+	8.26209914768762
CALM2	chr2	47160084	47176921	47176461	47176511	-	340.187128860021
GRB7	chr17	39737927	39747291	39737926	39737976	+	20.1748932676093
RNF217	chr6	124962437	125092633	124983363	124983413	+	0.0
ATP7B	chr13	51930436	52012125	52011444	52011494	-	0.0
ST8SIA3	chr18	57352557	57371731	57357151	57357201	+	0.0
INS	chr11	2159779	2161221	2161154	2161204	-	0.0
TMEM200A	chr6	130366017	130443067	130366280	130366330	+	0.96070920321949
SLC25A20	chr3	48856926	48898904	48898854	48898904	-	6.9171062631803295
RAG1	chr11	36510709	36593156	36568024	36568074	+	0.0
OR13A1	chr10	45302654	45315608	45307788	45307838	-	0.0
FAM126B	chr2	200973718	201071671	201045507	201045557	-	0.0
PLEKHO2	chr15	64841883	64868002	64841882	64841932	+	86.94418289136391
ARL16	chr17	81681187	81683797	81683616	81683666	-	0.288212760965847
ARFGAP1	chr20	63272785	63289790	63287655	63287705	+	0.096070920321949
SH3BP4	chr2	234952017	235055714	234981633	234981683	+	0.288212760965847
RNASET2	chr6	166922113	166957191	166956493	166956543	-	3.84283681287796
USP19	chr3	49108046	49120938	49120781	49120831	-	38.5244390491016
THRA	chr17	40058290	40093867	40058289	40058339	+	0.0
DOCK10	chr2	224765090	225042468	224807910	224807933	-	0.0
OVOL2	chr20	17956979	18059188	18059138	18059188	-	0.0
FAXC	chr6	99271168	99350062	99284162	99284212	-	0.096070920321949
STAC3	chr12	57243453	57251188	57251138	57251188	-	0.0
DPYSL3	chr5	147390808	147510068	147454216	147454266	-	8.26209914768762
RBX1	chr22	40951347	40973309	40951346	40951396	+	1018.15961357202
ACACA	chr17	37086456	37411442	37225521	37225571	-	0.0
PPP4R2	chr3	72996803	73069198	72996976	72997026	+	0.096070920321949
KCNK9	chr8	139600838	139704109	139703006	139703056	-	0.0
SMDT1	chr22	42079691	42084284	42079690	42079740	+	48.996169364194
FADS2	chr11	61792980	61867354	61827391	61827431	+	0.096070920321949
ANTXRL	chr10	46286345	46330207	46286344	46286394	+	0.0
HPX	chr11	6431049	6442617	6441016	6441066	-	0.0
CHRM2	chr7	136868652	137020255	136868777	136868827	+	0.096070920321949
MTERF2	chr12	106977277	106987160	106987110	106987160	-	44.9611907106721
DAP	chr5	10679230	10761234	10761149	10761199	-	0.480354601609745
TMEM129	chr4	1715952	1721358	1717859	1717909	-	0.0
ARRDC1	chr9	137605685	137615360	137614164	137614214	+	0.096070920321949
SHC4	chr15	48823741	48963919	48877439	48877489	-	0.0
PRAME	chr22	22556806	22568466	22559239	22559289	-	0.288212760965847
PIP5KL1	chr9	127920881	127930785	127927152	127927186	-	0.0
TBC1D20	chr20	423596	462566	462493	462543	-	29.974127140448104
ADCY5	chr3	123282296	123449090	123419159	123419209	-	0.0
CCDC110	chr4	185445182	185471752	185471709	185471759	-	3.84283681287796
CADM1	chr11	115169218	115504957	115504365	115504415	-	18.7338294627801
GTF2A1L	chr2	48617798	48733148	48617837	48617887	+	0.0
KARS1	chr16	75627474	75648643	75641563	75641602	-	0.288212760965847
URM1	chr9	128371361	128392016	128371318	128371368	+	161.20700430023
BMP6	chr6	7726099	7881728	7726796	7726846	+	0.0
MMRN2	chr10	86935540	86969481	86969431	86969481	-	0.0
AMN1	chr12	31671142	31729121	31729060	31729110	-	5.379971538029151
PACSIN3	chr11	47177522	47186443	47185369	47185419	-	6.43675166157058
IFNW1	chr9	21140632	21141832	21142095	21142145	-	0.0
BOLA2B	chr16	30192932	30194306	30193647	30193697	-	0.0
TMEM135	chr11	87037844	87328824	87037891	87037941	+	2.97819852998042
ITGB5	chr3	124761948	124901418	124848401	124848451	-	1.7292765657950802
UCHL1	chr4	41256413	41268455	41256907	41256957	+	10433.2058760433
RUNDC1	chr17	42980565	42995142	42980564	42980614	+	7.589602705433969
TPPP	chr5	659862	693352	693345	693395	-	0.0
NAGLU	chr17	42536241	42544449	42536937	42536987	+	0.0
ENDOU	chr12	47709734	47725567	47725517	47725567	-	0.0
HPSE	chr4	83292461	83335153	83335103	83335153	-	0.096070920321949
GPX3	chr5	151020591	151028988	151020588	151020638	+	17.5809784189167
MCCC1	chr3	183015218	183116075	183099500	183099550	-	363.82057525922096
MCC	chr5	113022099	113488823	113488780	113488830	-	0.0
DNAAF1	chr16	84145287	84178767	84175227	84175277	+	0.0
SRPRA	chr11	126262938	126269144	126269094	126269144	-	0.0
ANAPC7	chr12	110372900	110403730	110403639	110403689	-	333.22198713668
HCN4	chr15	73319859	73368958	73369214	73369264	-	0.0
SH2D3C	chr9	127738317	127778710	127762237	127762287	-	0.0
BMT2	chr7	112819147	112939875	112939248	112939298	-	0.0
DNAI1	chr9	34457414	34520988	34458751	34458801	+	0.288212760965847
C9orf131	chr9	35041095	35045986	35041141	35041191	+	0.0
SLX1B	chr16	29454501	29458219	29455104	29455154	+	0.0
CLTCL1	chr22	19179473	19291719	19226270	19226320	-	0.096070920321949
MED11	chr17	4731428	4733608	4731427	4731477	+	56.8739848305938
ASPRV1	chr2	69960089	69961631	69962215	69962265	-	0.0
STK31	chr7	23710203	23832513	23710325	23710375	+	0.0
CRYZL1	chr21	33589341	33643926	33603403	33603448	-	0.288212760965847
CPSF7	chr11	61402641	61430031	61429938	61429988	-	218.89759195356095
PKDCC	chr2	42048021	42058517	42054956	42055006	+	0.096070920321949
ADAD1	chr4	122378966	122429802	122379442	122379492	+	0.0
ATP2A2	chr12	110280756	110351093	110329398	110329448	+	0.0
SMIM28	chr6	138377905	138383486	138377904	138377954	+	0.0
P2RY12	chr3	151336843	151384753	151340803	151340853	-	0.0
PALB2	chr16	23603160	23641310	23637885	23637935	-	0.096070920321949
CAPZA2	chr7	116811070	116922049	116862586	116862636	+	246.037626944511
CSNK1A1L	chr13	37103259	37105664	37105614	37105664	-	0.0
SRGN	chr10	69088103	69104805	69088105	69088155	+	0.0
BPI	chr20	38304150	38337505	38304122	38304172	+	0.0
IQCH	chr15	67254786	67502260	67357344	67357394	+	0.0
OR5A2	chr11	59416969	59426413	59422926	59422976	-	0.0
UIMC1	chr5	176905005	177022633	177022583	177022633	-	2.6899857690145703
NLRP1	chr17	5499427	5619424	5584481	5584531	-	0.0
DYNC2LI1	chr2	43774039	43810010	43774038	43774088	+	22.096311674048295
NUS1	chr6	117675469	117710727	117675501	117675551	+	0.0
MTNR1A	chr4	186533655	186555567	186555517	186555567	-	0.672496442253643
DAXX	chr6	33318558	33323016	33322907	33322957	-	134.06696930928
ONECUT2	chr18	57435374	57491298	57435684	57435734	+	0.0
CLCN1	chr7	143316111	143352083	143316125	143316175	+	0.0
SS18L2	chr3	42581840	42596934	42591273	42591323	+	0.096070920321949
TMEM192	chr4	165070608	165208549	165208499	165208549	-	0.0
L3MBTL2	chr22	41205282	41231271	41205281	41205331	+	62.83038189055471
IL20RA	chr6	136999971	137045180	137044914	137044964	-	0.288212760965847
CCDC171	chr9	15553043	16061663	15777767	15777817	+	0.0
IL9	chr5	135892246	135895841	135895777	135895827	-	0.0
EDIL3	chr5	83940554	84384880	84078778	84078828	-	0.0
UBE2V2	chr8	48008415	48064708	48043032	48043082	+	0.0
MMP24OS	chr20	35201745	35278131	35278079	35278129	-	9.895304793160747
IRF7	chr11	612553	615983	615678	615728	-	0.096070920321949
CIAO1	chr2	96266159	96274173	96266240	96266290	+	79.8349347875396
ITPR2	chr12	26335352	26833194	26725963	26726013	-	0.0
ZFP90	chr16	68530090	68576072	68539212	68539262	+	0.0
DTX3L	chr3	122564338	122575203	122564237	122564287	+	0.096070920321949
TMEM80	chr11	695591	705028	695590	695640	+	0.480354601609745
CBLN1	chr16	49277917	49281838	49281432	49281482	-	0.0
TBC1D3	chr17	38181659	38192555	38192491	38192541	-	0.0
UNC93B1	chr11	67991100	68004982	68004073	68004123	-	14.1224252873265
SH2D7	chr15	78077808	78104370	78092584	78092634	+	0.0
MEIG1	chr10	14959388	14988050	14959509	14959557	+	0.0
ALG2	chr9	99216425	99221942	99221906	99221956	-	69.651417233413
TMEM126A	chr11	85647967	85656547	85647966	85648016	+	274.858903041096
VSTM4	chr10	49014236	49115522	49115459	49115509	-	0.480354601609745
PDE5A	chr4	119494397	119628804	119519592	119519642	-	0.096070920321949
ARHGEF25	chr12	57610180	57617245	57611912	57611962	+	0.288212760965847
C9orf43	chr9	113410054	113429690	113410053	113410103	+	0.288212760965847
TRH	chr3	129974688	129977935	129974687	129974737	+	0.0
MRAP	chr21	32291813	32314784	32298849	32298899	+	0.0
SMIM31	chr4	164754064	164803795	164754063	164754113	+	0.0
ZNF510	chr9	96754553	96778129	96778079	96778129	-	28.1487796543311
CARS1	chr11	3000922	3057613	3040038	3040088	-	0.480354601609745
CILP	chr15	65194760	65211473	65211438	65211488	-	0.0
CMC2	chr16	80966448	81020270	80997322	80997372	-	0.0
SLIT3	chr5	168661733	169301139	169300696	169300746	-	0.0
TRIM38	chr6	25962802	25991231	25962801	25962851	+	18.2534748611703
DNAJC5	chr20	63895126	63936031	63895181	63895231	+	0.96070920321949
ABCA3	chr16	2275881	2340746	2340696	2340746	-	9.414950191551
CCDC43	chr17	44673069	44689779	44689729	44689779	-	30.838765423345603
RAD52	chr12	911736	990053	949623	949673	-	88.7695303774809
F2	chr11	46719196	46739506	46719195	46719245	+	0.0
DLEC1	chr3	38039205	38124025	38062745	38062795	+	0.0
ZNF786	chr7	149069641	149090782	149090732	149090782	-	106.254437876076
TRIM77	chr11	89710299	89717872	89710298	89710348	+	0.0
LSG1	chr3	194640791	194672463	194672427	194672477	-	2.30570208772678
STAT2	chr12	56341597	56360167	56360087	56360137	-	128.350749550124
CERKL	chr2	181535041	181680665	181657057	181657107	-	0.096070920321949
NT5M	chr17	17303335	17347663	17303365	17303415	+	5.668184298994991
CENPM	chr22	41938737	41947152	41946679	41946729	-	22.096311674048295
ZYX	chr7	143381295	143391111	143381360	143381410	+	0.672496442253643
H4C5	chr6	26204610	26205021	26204551	26204601	+	0.0
NOP16	chr5	176383946	176388927	176388548	176388598	-	101.354820939656
ADGRV1	chr5	90529344	91164437	90672553	90672603	+	0.288212760965847
ITGB1BP1	chr2	9403475	9423528	9408249	9408299	-	0.0
GLYCTK	chr3	52287089	52295257	52290073	52290123	+	0.0
CYP2C8	chr10	95036772	95069497	95069447	95069497	-	0.288212760965847
CTDSPL	chr3	37861880	37984469	37964636	37964672	+	0.0
BCL7B	chr7	73536356	73557690	73557604	73557654	-	1.53713472515118
FAM234A	chr16	234521	272183	234545	234595	+	0.0
CYP4V2	chr4	186191567	186213463	186191519	186191569	+	4.99568785674135
CGREF1	chr2	27098889	27119128	27119065	27119115	-	0.096070920321949
SFTPA2	chr10	79555852	79560407	79560363	79560395	-	0.0
CBLL1	chr7	107743949	107761667	107744141	107744176	+	139.206763546504
EIF4A3	chr17	80134369	80147151	80140426	80140476	-	0.0
COLQ	chr3	15450133	15521751	15450829	15450879	-	0.0
DTYMK	chr2	241675747	241686944	241686941	241686991	-	0.096070920321949
POU3F2	chr6	98834574	98839458	98834591	98834641	+	0.096070920321949
ARHGEF3	chr3	56727418	57079329	56977325	56977375	-	0.0
DGKZ	chr11	46332905	46380554	46347587	46347637	+	0.096070920321949
IFNA6	chr9	21349835	21351378	21351328	21351378	-	0.0
TWF2	chr3	52228612	52246788	52239092	52239142	-	83.2934879191298
DDX46	chr5	134758771	134855133	134782069	134782086	+	0.288212760965847
DRAP1	chr11	65919274	65921563	65919273	65919323	+	0.672496442253643
ARMC9	chr2	231198546	231376848	231198642	231198692	+	20.8473897098629
ZC2HC1A	chr8	78666089	78719765	78666046	78666096	+	100.922501798207
ADAMTS18	chr16	77247813	77435034	77431583	77431633	-	0.0
DEFB107B	chr8	7487822	7501287	7495845	7495895	+	0.0
GFM1	chr3	158644527	158695581	158644704	158644754	+	0.096070920321949
OC90	chr8	132024216	132059382	132059340	132059380	-	0.0
UGT2B28	chr4	69280475	69295050	69280498	69280548	+	0.0
IDNK	chr9	83623049	83644130	83623165	83623215	+	0.0
MAP1LC3B2	chr12	116548105	116576606	116548105	116548155	+	0.0
SRPK2	chr7	105110704	105399308	105133018	105133068	-	0.096070920321949
FAM91A1	chr8	123768439	123815452	123768456	123768506	+	97.80019688774412
STXBP5L	chr3	120908072	121424761	120908288	120908334	+	0.672496442253643
CYBC1	chr17	82442586	82450829	82450718	82450768	-	28.8693115567457
XPO5	chr6	43522334	43576038	43559012	43559062	-	0.0
DYRK4	chr12	4562208	4615302	4599624	4599674	+	0.0
DUSP19	chr2	183078559	183100008	183078988	183079038	+	0.0
TEX26	chr13	30932656	30975500	30932702	30932752	+	0.0
PAK1	chr11	77322017	77474635	77356248	77356298	-	0.288212760965847
TREML4	chr6	41228339	41238882	41228338	41228388	+	0.0
TIMM23B	chr10	49942049	49974850	49942032	49942082	+	158.805231292182
SEC24A	chr5	134648785	134727909	134648788	134648838	+	94.14950191551
DUSP22	chr6	291630	351355	292478	292528	+	8.550311908653459
FAM13C	chr10	59246130	59363181	59362500	59362550	-	3.4585531315901603
USF3	chr3	113648385	113696646	113674846	113674896	-	0.0
TBC1D5	chr3	17157162	18444817	17742594	17742644	-	114.132253342475
LGALS1	chr22	37675636	37679802	37676124	37676174	+	0.0
DHX35	chr20	38962299	39039723	39030359	39030409	+	0.0
TAC4	chr17	49838300	49848069	49847967	49848017	-	0.0
ATG16L1	chr2	233210051	233295674	233251669	233251719	+	540.0146431296749
ADAMTS16	chr5	5140330	5320304	5235036	5235086	+	0.0
PFDN1	chr5	140245035	140303113	140281485	140281535	-	0.0
MLYCD	chr16	83899115	83951445	83899125	83899175	+	78.53797736319329
MAP4K3	chr2	39249266	39437301	39437178	39437228	-	5.379971538029151
REG3A	chr2	79157003	79159753	79159727	79159749	-	0.0
FBXO9	chr6	53051991	53100873	53092810	53092824	+	0.0
TAX1BP1	chr7	27739331	27844564	27739330	27739380	+	0.96070920321949
SPATS2L	chr2	200305881	200482264	200306158	200306208	+	24.5941556024189
CTNNAL1	chr9	108942569	109013522	109013472	109013522	-	15.3713472515118
SNX30	chr9	112750760	112881671	112838584	112838634	+	0.480354601609745
C17orf113	chr17	42038232	42050601	42043067	42043117	-	0.0
RPS20	chr8	56067254	56074510	56074459	56074509	-	185.897230822971
KHDRBS2	chr6	61679961	62286225	62286177	62286227	-	68.49856618954959
HAGHL	chr16	726936	735525	728513	728563	+	2.6899857690145703
CNBP	chr3	129167827	129183922	129183860	129183910	-	663.177562982414
HECTD4	chr12	112160188	112382439	112170135	112170185	-	0.0
OR52N2	chr11	5808924	5821483	5820313	5820363	+	0.0
NTN1	chr17	9021510	9244000	9162934	9162984	+	0.0
GMCL2	chr5	178184505	178187371	178187249	178187299	-	0.0
RPL34	chr4	108620569	108630412	108620589	108620639	+	584.3033373980941
DNAJA2	chr16	46955362	46973674	46973614	46973664	-	44.2886942684185
CAMK2G	chr10	73812501	73874591	73847987	73848018	-	0.0
LSM5	chr7	32485338	32495283	32490813	32490863	-	0.0
ETF1	chr5	138506095	138543236	138541636	138541686	-	0.0
KRT39	chr17	40958544	40967019	40960647	40960697	-	0.0
COLEC12	chr18	316737	500722	500672	500722	-	0.96070920321949
HTR2A	chr13	46831546	46897076	46895763	46895813	-	0.0
NR3C1	chr5	143277931	143435512	143434722	143434772	-	0.0
BATF2	chr11	64987945	64997018	64996968	64997018	-	0.480354601609745
COMMD3	chr10	22316386	22320306	22316385	22316435	+	19.0220422237459
ZCCHC3	chr20	297570	300321	296967	297017	+	0.0
LYG1	chr2	99284238	99304742	99304692	99304742	-	0.0
PAPPA	chr9	116153791	116402321	116153803	116153853	+	0.480354601609745
CD59	chr11	33703010	33736479	33722677	33722727	-	0.0
RABGEF1	chr7	66682164	66811464	66682163	66682213	+	3.17034037062432
STH	chr17	46098193	46098637	45999249	45999299	+	0.0
SEC63	chr6	107867756	107958208	107958139	107958189	-	44.5769070293843
OR8G5	chr11	124256376	124266224	124264826	124264876	+	0.0
ARSA	chr22	50622754	50628173	50623276	50623326	-	0.0
CAPN1	chr11	65180566	65212006	65181193	65181243	+	0.096070920321949
RASGEF1B	chr4	81426393	82044244	81471878	81471928	-	14.1224252873265
GAB1	chr4	143336762	143474568	143438256	143438306	+	0.096070920321949
GLT6D1	chr9	135623648	135639540	135639490	135639540	-	0.0
ST20	chr15	79898840	79923702	79907986	79908036	-	0.0
MPHOSPH9	chr12	123152320	123244014	123233188	123233238	-	1.05678012354144
SUMO1	chr2	202206182	202238599	202238558	202238608	-	1789.3208909963
GVQW3	chr11	76381303	76414619	76381315	76381365	+	24.1138010008092
CLSTN2	chr3	139935185	140577397	139935184	139935234	+	0.096070920321949
SGMS1	chr10	50305586	50625163	50343476	50343526	-	0.0
NDUFAF4	chr6	96889315	96897891	96896868	96896918	-	0.0
CD302	chr2	159768628	159798255	159798192	159798242	-	3.65069497223406
ADH1A	chr4	99276369	99291003	99290953	99291003	-	0.0
TRABD	chr22	50185913	50199598	50185914	50185964	+	206.456407771868
EIF3E	chr8	108162787	108443496	108248715	108248765	-	1129.98616482676
IFIT5	chr10	89414568	89421605	89414585	89414635	+	0.288212760965847
MTMR12	chr5	32226994	32312987	32312937	32312987	-	69.3151690122862
JCAD	chr10	30012803	30115494	30013868	30013918	-	0.0
PF4V1	chr4	73853296	73854483	73853188	73853238	+	0.0
C15orf62	chr15	40769980	40772449	40770079	40770129	+	0.0
WEE1	chr11	9573670	9593457	9577784	9577834	+	0.0
PELI3	chr11	66466327	66477337	66466917	66466967	+	1.92141840643898
PPP1R11	chr6	30057093	30060717	30066708	30066758	+	0.0
ISL1	chr5	51383448	51394730	51383671	51383699	+	0.0
UROS	chr10	125784980	125823258	125823198	125823248	-	95.5905657203393
UNC5A	chr5	176810519	176880898	176810476	176810526	+	0.096070920321949
ZNF514	chr2	95145000	95165413	95159287	95159337	-	0.0
MARCHF1	chr4	163524298	164384050	164384000	164384050	-	1.92141840643898
TPI1	chr12	6867119	6870948	6868140	6868190	+	2.59391484869262
LAMB2	chr3	49121114	49133118	49123727	49123754	-	0.0
CH25H	chr10	89205629	89207317	89207264	89207314	-	0.0
LRP2BP	chr4	185363872	185395924	185378797	185378847	-	0.096070920321949
