gene_name	chr	gene_start	gene_end	strand	TSS_start	TSS_end	gex	gex_rank	gex_group	gene_length	gene_center	TSS_center
PIGW	chr17	36535392	36539682	+	36535019	36535054	28.928238554748997	0.822617293048391	gex>0	4291	36537537	36535036
ANKRD39	chr2	96836611	96858016	-	96858045	96858095	5.86253339481625	0.7314541881601572	gex>0	21406	96847313	96858070
VPS11	chr11	119067691	119081977	+	119067820	119067870	2.1143563063271698	0.680545320560059	gex>0	14287	119074834	119067845
IFITM2	chr11	303655	309397	+	308162	308212	360.689964438449	0.9693564234831736	gex>0	5743	306526	308187
CROT	chr7	87345664	87399794	+	87345680	87345730	20.1824920149412	0.8010930975190371	gex>0	54131	87372729	87345705
BUB1	chr2	110637528	110678063	-	110650689	110650739	1.05717815316359	0.6474453451240482	gex>0	40536	110657795	110650714
DENR	chr12	122752824	122771064	+	122752826	122752896	329.935690891872	0.9662245148612134	gex>0	18241	122761944	122752861
HDAC9	chr7	18086949	19002416	+	18290421	18290471	67.8035624597191	0.8797899778924098	gex>0	915468	18544682	18290446
ADGRG1	chr16	57610652	57665580	+	57619737	57620095	1.63382078216191	0.6671579464505035	gex>0	54929	57638116	57619916
TPI1	chr12	6867119	6870948	+	6868099	6868190	18.068135708614	0.7941537705723409	gex>0	3830	6869033	6868144
ALG9	chr11	111782195	111871581	-	111868686	111868736	1.05717815316359	0.6474453451240482	gex>0	89387	111826888	111868711
CDK2AP1	chr12	123250112	123272334	-	123271091	123272140	16.9148504506174	0.7901621223286662	gex>0	22223	123261223	123271615
TMED2	chr12	123584533	123598582	+	123584530	123584580	171.11870015525102	0.935611643330877	gex>0	14050	123591557	123584555
ERO1A	chr14	52639915	52695900	-	52695850	52695900	6.63139023348068	0.7379943502824858	gex>0	55986	52667907	52695875
TNFRSF13B	chr17	16929816	16972118	-	16972037	16972118	2483.9842315151	0.9979734708916728	gex>0	42303	16950967	16972077
PEPD	chr19	33386950	33521791	-	33521744	33521794	50.3601229325199	0.8593097519037092	gex>0	134842	33454370	33521769
DMXL1	chr5	119037772	119249138	+	119105222	119105258	0.480535524165267	0.6075288626873004	gex>0	211367	119143455	119105240
SEM1	chr7	96481626	96709880	-	96709823	96709891	484.668129673088	0.9779538197003194	gex>0	228255	96595753	96709857
AHRR	chr5	321714	438291	+	427917	427967	1.05717815316359	0.6474453451240482	gex>0	116578	380002	427942
RPL23A	chr17	28719985	28724359	+	28720243	28720293	12.59003073313	0.7732743797592729	gex>0	4375	28722172	28720268
GNG7	chr19	2511219	2702694	-	2702659	2702709	21.5279914826039	0.8045013510194056	gex>0	191476	2606956	2702684
ZNF655	chr7	99558406	99576453	+	99558825	99558875	41.9988048120443	0.8470277573077868	gex>0	18048	99567429	99558850
DNAJC17	chr15	40765161	40807478	-	40807428	40807478	323.496514868057	0.9653647752394988	gex>0	42318	40786319	40807453
ZNF44	chr19	12224686	12294883	-	12294830	12294880	33.349165377069504	0.8323200687791698	gex>0	70198	12259784	12294855
TNRC6B	chr22	40044817	40335808	+	40177924	40177974	170.109575554504	0.9351510685335298	gex>0	290992	40190312	40177949
CUL5	chr11	108008898	108107761	+	108008919	108008969	33.349165377069504	0.8323200687791698	gex>0	98864	108058329	108008944
ZNF419	chr19	57487711	57496098	+	57487721	57487771	9.41849627363922	0.7568779169737165	gex>0	8388	57491904	57487746
SYNGR4	chr19	48364367	48376377	+	48364394	48364444	0.480535524165267	0.6075288626873004	gex>0	12011	48370372	48364419
TECPR1	chr7	98214624	98252232	-	98252201	98252251	10.5717815316359	0.7635101940555146	gex>0	37609	98233428	98252226
METRN	chr16	715118	719655	+	715640	715690	0.480535524165267	0.6075288626873004	gex>0	4538	717386	715665
REXO5	chr16	20806429	20849665	+	20806623	20806673	7.400247072145111	0.7441660525669369	gex>0	43237	20828047	20806648
CHSY1	chr15	101175727	101252048	-	101188011	101188061	77.558433600274	0.8888479489069024	gex>0	76322	101213887	101188036
FAM168B	chr2	131047876	131093460	-	131093410	131093460	47.909391759277106	0.8559322033898306	gex>0	45585	131070668	131093435
RPL23	chr17	38847860	38853764	-	38853714	38853764	2350.39535579715	0.9976664210267748	gex>0	5905	38850812	38853739
TESPA1	chr12	54948015	54984762	-	54984696	54984746	83.0365385757581	0.8943748464750676	gex>0	36748	54966388	54984721
MRPL17	chr11	6680385	6683340	-	6683266	6683316	535.989323653938	0.9805637435519527	gex>0	2956	6681862	6683291
TMEM134	chr11	67461710	67469272	-	67467540	67467590	0.480535524165267	0.6075288626873004	gex>0	7563	67465491	67467565
LSM6	chr4	146175703	146200000	+	146182922	146182972	1.05717815316359	0.6474453451240482	gex>0	24298	146187851	146182947
JPH4	chr14	23568038	23578790	-	23578750	23578800	2.1143563063271698	0.680545320560059	gex>0	10753	23573414	23578775
ZNF180	chr19	44474428	44500524	-	44500474	44500524	27.294417772587103	0.8189326946696144	gex>0	26097	44487476	44500499
NAPEPLD	chr7	103099776	103149564	-	103149510	103149560	3.5559628788229705	0.706951608941292	gex>0	49789	103124670	103149535
ANXA3	chr4	78551747	78610451	+	78551746	78551796	22.7773838454336	0.8078481945467944	gex>0	58705	78581099	78551771
NFX1	chr9	33290512	33371157	+	33290511	33290561	79.8169505638508	0.8913043478260869	gex>0	80646	33330834	33290536
KIF20B	chr10	89701590	89774939	+	89701678	89701717	1.63382078216191	0.6671579464505035	gex>0	73350	89738264	89701697
PREP	chr6	105273218	105454062	-	105403034	105403084	13.8394230959597	0.7784021125030705	gex>0	180845	105363640	105403059
MVD	chr16	88651935	88663161	-	88663087	88663137	303.602344167615	0.9628469663473348	gex>0	11227	88657548	88663112
ILDR1	chr3	121987323	122022247	-	122022148	122022198	9.80292469297144	0.7593650208793908	gex>0	34925	122004785	122022173
CSTF3	chr11	33077188	33162371	-	33161441	33161491	65.8333668106415	0.8772414640137558	gex>0	85184	33119779	33161466
ENTPD7	chr10	99659509	99711241	+	99659505	99659555	9.03406785430701	0.754267993122083	gex>0	51733	99685375	99659530
TCTA	chr3	49412212	49416476	+	49412390	49412449	87.3613582932455	0.8980594448538443	gex>0	4265	49414344	49412419
SCAP	chr3	47413681	47477126	-	47475887	47475955	10.1873531123037	0.761545074920167	gex>0	63446	47445403	47475921
CCDC88A	chr2	55287842	55419895	-	55419806	55419921	1.05717815316359	0.6474453451240482	gex>0	132054	55353868	55419863
MRPL36	chr5	1798385	1801366	-	1801333	1801366	6.63139023348068	0.7379943502824858	gex>0	2982	1799875	1801349
ANO5	chr11	21782659	22283567	+	22193175	22193225	4.03649840298824	0.7126934414148858	gex>0	500909	22033113	22193200
B2M	chr15	44711489	44718888	+	44711486	44711536	7350.36748473675	0.9997543601080816	gex>0	7400	44715188	44711511
NEIL3	chr4	177309874	177362936	+	177309835	177309885	49.8795874083547	0.8587263571604028	gex>0	53063	177336405	177309860
ECD	chr10	73130155	73169055	-	73167898	73167948	2.1143563063271698	0.680545320560059	gex>0	38901	73149605	73167923
TIGD2	chr4	89111533	89114901	+	89111499	89111549	1.63382078216191	0.6671579464505035	gex>0	3369	89113217	89111524
GNAI2	chr3	50226292	50259362	+	50238111	50238161	1.05717815316359	0.6474453451240482	gex>0	33071	50242827	50238136
SMAD4	chr18	51028394	51085045	+	51030212	51030262	12.3017094186308	0.7714627855563744	gex>0	56652	51056719	51030237
PRRG4	chr11	32829927	32858120	+	32829942	32829992	0.480535524165267	0.6075288626873004	gex>0	28194	32844023	32829967
RAVER1	chr19	10316212	10333638	-	10321112	10321162	0.480535524165267	0.6075288626873004	gex>0	17427	10324925	10321137
MEF2A	chr15	99565417	99716488	+	99565416	99565466	0.480535524165267	0.6075288626873004	gex>0	151072	99640952	99565441
RABEP2	chr16	28904421	28936526	-	28925166	28925216	31.2348090707423	0.82753009088676	gex>0	32106	28920473	28925191
CDK9	chr9	127785679	127790792	+	127787499	127787549	1.63382078216191	0.6671579464505035	gex>0	5114	127788235	127787524
SERTAD3	chr19	40440844	40444335	-	40444012	40444062	3.5559628788229705	0.706951608941292	gex>0	3492	40442589	40444037
CYCS	chr7	25118656	25125260	-	25125210	25125260	83.9976096240886	0.8950810611643331	gex>0	6605	25121958	25125235
ETFRF1	chr12	25195216	25209645	+	25195260	25195310	120.037773936484	0.9166973716531563	gex>0	14430	25202430	25195285
QRSL1	chr6	106629578	106668417	+	106629577	106629627	80.6338609549317	0.8921026774748219	gex>0	38840	106648997	106629602
PDAP1	chr7	99392048	99408597	-	99408540	99408590	107.447743203354	0.9104949643822156	gex>0	16550	99400322	99408565
RDH14	chr2	18554723	18560679	-	18560629	18560679	14.8004941442902	0.7815033161385408	gex>0	5957	18557701	18560654
MAPK1	chr22	21759657	21867680	-	21867630	21867680	63.7190105043143	0.8747543601080816	gex>0	108024	21813668	21867655
ATP6V1A	chr3	113747033	113812056	+	113747032	113747082	222.439894136102	0.94936747727831	gex>0	65024	113779544	113747057
SCAF4	chr21	31671000	31732118	-	31731918	31731968	13.0705662572953	0.7752702038811103	gex>0	61119	31701559	31731943
CIB1	chr15	90229975	90234047	-	90233997	90234047	4.51703392715351	0.7182510439695406	gex>0	4073	90232011	90234022
VRK2	chr2	57907629	58159920	+	58046641	58046740	11.3406383703003	0.767563252272169	gex>0	252292	58033774	58046690
C21orf91	chr21	17788974	17819386	-	17819336	17819386	203.747062246073	0.9454679439941046	gex>0	30413	17804180	17819361
ACAT2	chr6	159762045	159779112	+	159762494	159762544	122.632665766976	0.91774134119381	gex>0	17068	159770578	159762519
BORCS8	chr19	19176903	19192591	-	19192539	19192589	3.5559628788229705	0.706951608941292	gex>0	15689	19184747	19192564
SSTR2	chr17	73165010	73176633	+	73165011	73165061	5.86253339481625	0.7314541881601572	gex>0	11624	73170821	73165036
RHBDF2	chr17	76470891	76501790	-	76501373	76501423	26.0450254097574	0.815985015966593	gex>0	30900	76486340	76501398
GSR	chr8	30678066	30727846	-	30727876	30727926	3.5559628788229705	0.706951608941292	gex>0	49781	30702956	30727901
TMEM251	chr14	93184951	93188463	+	93184950	93185000	36.9051282558925	0.8385531810366004	gex>0	3513	93186707	93184975
RPP14	chr3	58306245	58324695	+	58306246	58306311	179.72028603781	0.938620732006878	gex>0	18451	58315470	58306278
SMCO2	chr12	27466810	27502185	+	27474895	27474913	0.480535524165267	0.6075288626873004	gex>0	35376	27484497	27474904
COG1	chr17	73193055	73208507	+	73193071	73193142	1.05717815316359	0.6474453451240482	gex>0	15453	73200781	73193106
PDK1	chr2	172555373	172608669	+	172556564	172556614	0.480535524165267	0.6075288626873004	gex>0	53297	172582021	172556589
KATNB1	chr16	57735739	57757244	+	57755447	57755494	0.480535524165267	0.6075288626873004	gex>0	21506	57746491	57755470
ZNF213	chr16	3129777	3142804	+	3135132	3135187	2.59489183049244	0.6914455907639401	gex>0	13028	3136290	3135159
PAXIP1	chr7	154943687	155003124	-	154983694	154983744	0.480535524165267	0.6075288626873004	gex>0	59438	154973405	154983719
RNF7	chr3	141738249	141747560	+	141738276	141738346	496.969839091719	0.9786293294030952	gex>0	9312	141742904	141738311
CDV3	chr3	133573686	133590261	+	133573975	133574025	12.59003073313	0.7732743797592729	gex>0	16576	133581973	133574000
FLOT2	chr17	28879335	28897733	-	28888976	28889026	4.51703392715351	0.7182510439695406	gex>0	18399	28888534	28889001
DCTN6	chr8	30156319	30183639	+	30156368	30156406	43.152090070040906	0.8489621714566445	gex>0	27321	30169979	30156387
EXOSC1	chr10	97435909	97446017	-	97445800	97445850	2.1143563063271698	0.680545320560059	gex>0	10109	97440963	97445825
COG8	chr16	69320140	69339583	-	69339533	69339583	117.154560791492	0.9152542372881356	gex>0	19444	69329861	69339558
GTF2H1	chr11	18322295	18367045	+	18322546	18322596	318.546998969155	0.964904200442152	gex>0	44751	18344670	18322571
VIRMA	chr8	94487689	94553529	-	94553473	94553523	5.38199787065099	0.7278002947678703	gex>0	65841	94520609	94553498
MAPK9	chr5	180233143	180292099	-	180292021	180292071	7.400247072145111	0.7441660525669369	gex>0	58957	180262621	180292046
PPFIA1	chr11	70270690	70385312	+	70270699	70270749	37.577877989723795	0.8396585605502334	gex>0	114623	70328001	70270724
ATPAF2	chr17	17977409	18039209	-	18039177	18039209	23.1618122647658	0.8089535740604274	gex>0	61801	18008309	18039193
ALOX5	chr10	45374176	45446119	+	45440429	45440479	0.480535524165267	0.6075288626873004	gex>0	71944	45410147	45440454
DGUOK	chr2	73926826	73958961	+	73926874	73926924	335.50990297218897	0.96677720461803	gex>0	32136	73942893	73926899
TTLL12	chr22	43166622	43187134	-	43187083	43187133	7.111925757645951	0.7413104888233849	gex>0	20513	43176878	43187108
CYC1	chr8	144095039	144097525	+	144095038	144095088	366.16806941393304	0.9698784082535004	gex>0	2487	144096282	144095063
BRIX1	chr5	34915677	34925996	+	34915676	34915726	94.9538195750567	0.903187177597642	gex>0	10320	34920836	34915701
ZNF414	chr19	8509678	8514167	-	8514114	8514164	72.17643572962301	0.8842729059199214	gex>0	4490	8511922	8514139
FOXJ2	chr12	8032716	8055517	+	8032702	8032752	0.480535524165267	0.6075288626873004	gex>0	22802	8044116	8032727
TREML2	chr6	41189749	41201149	-	41201144	41201194	0.480535524165267	0.6075288626873004	gex>0	11401	41195449	41201169
SMPD4	chr2	130151392	130182750	-	130181551	130181601	176.45264447348598	0.9374846475067552	gex>0	31359	130167071	130181576
TSPYL5	chr8	97273488	97277928	-	97277914	97277964	0.480535524165267	0.6075288626873004	gex>0	4441	97275708	97277939
ZNF438	chr10	30820207	31031937	-	31031887	31031937	7.88078259631037	0.7467759764185704	gex>0	211731	30926072	31031912
EIF4G2	chr11	10797050	10808940	-	10800432	10800482	10.5717815316359	0.7635101940555146	gex>0	11891	10802995	10800457
PPP1R11	chr6	30057093	30060717	+	30066708	30066758	1.05717815316359	0.6474453451240482	gex>0	3625	30058905	30066733
NLRC3	chr16	3539033	3577403	-	3577350	3577400	2.59489183049244	0.6914455907639401	gex>0	38371	3558218	3577375
INTS9	chr8	28767661	28890242	-	28889914	28889964	44.978125061869	0.8518177352001965	gex>0	122582	28828951	28889939
TEC	chr4	48135783	48269838	-	48269814	48269864	28.928238554748997	0.822617293048391	gex>0	134056	48202810	48269839
HS1BP3	chr2	20560448	20651130	-	20651039	20651089	20.7591346439395	0.8028739867354459	gex>0	90683	20605789	20651064
CDK14	chr7	90466424	91210590	+	90709250	90709300	13.4549946766275	0.7769896831245394	gex>0	744167	90838507	90709275
DCAF1	chr3	51395867	51500015	-	51499952	51500002	272.800017068622	0.9584561532792926	gex>0	104149	51447941	51499977
TPRA1	chr3	127571232	127598267	-	127598201	127598251	13.0705662572953	0.7752702038811103	gex>0	27036	127584749	127598226
SUMF2	chr7	56064002	56080670	+	56064264	56064314	483.8031657295901	0.97783099975436	gex>0	16669	56072336	56064289
ATXN7L1	chr7	105604772	105876599	-	105876554	105876604	4.03649840298824	0.7126934414148858	gex>0	271828	105740685	105876579
DRAP1	chr11	65919274	65921563	+	65919256	65919323	4.51703392715351	0.7182510439695406	gex>0	2290	65920418	65919289
B3GNTL1	chr17	82942371	83050530	-	83051759	83051809	44.978125061869	0.8518177352001965	gex>0	108160	82996450	83051784
MAK	chr6	10762723	10838553	-	10838505	10838555	1.63382078216191	0.6671579464505035	gex>0	75831	10800638	10838530
DHX16	chr6	30642608	30662557	-	30672987	30673037	353.385824471137	0.968680913780398	gex>0	19950	30652582	30673012
TRAPPC10	chr21	44012309	44106552	+	44012318	44012368	15.0888154587894	0.7833456153279292	gex>0	94244	44059430	44012343
DNAAF10	chr2	68122936	68157549	-	68157510	68157560	88.51464355124209	0.8988270695160894	gex>0	34614	68140242	68157535
EIF3G	chr19	10115014	10119918	-	10119868	10119918	271.550624705792	0.958210513387374	gex>0	4905	10117466	10119893
ZNF284	chr19	44072159	44089613	+	44072143	44072193	50.3601229325199	0.8593097519037092	gex>0	17455	44080886	44072168
PDCD4	chr10	110871795	110900006	+	110885252	110885302	14.8004941442902	0.7815033161385408	gex>0	28212	110885900	110885277
CCDC152	chr5	42756818	42802439	+	42756817	42756867	4.51703392715351	0.7182510439695406	gex>0	45622	42779628	42756842
OCEL1	chr19	17226213	17229219	+	17226203	17226253	28.928238554748997	0.822617293048391	gex>0	3007	17227716	17226228
HIGD2A	chr5	176388751	176389761	+	176388746	176388796	1034.40076931815	0.991464013755834	gex>0	1011	176389256	176388771
HLA-DMB	chr6	32863344	32881839	-	32937389	32937439	4.03649840298824	0.7126934414148858	gex>0	18496	32872591	32937414
ATF7IP2	chr16	10326434	10483638	+	10386054	10386107	7.400247072145111	0.7441660525669369	gex>0	157205	10405036	10386080
ZNF629	chr16	30778456	30787205	-	30787152	30787202	2.59489183049244	0.6914455907639401	gex>0	8750	30782830	30787177
ETHE1	chr19	43506719	43527230	-	43527180	43527230	248.773240860358	0.9544645050356176	gex>0	20512	43516974	43527205
KCNK5	chr6	39188971	39229475	-	39229400	39229450	1.05717815316359	0.6474453451240482	gex>0	40505	39209223	39229425
SAYSD1	chr6	39104063	39115186	-	39115021	39115071	2.1143563063271698	0.680545320560059	gex>0	11124	39109624	39115046
TMEM25	chr11	118531041	118547280	+	118531191	118531241	9.03406785430701	0.754267993122083	gex>0	16240	118539160	118531216
DCTN2	chr12	57529633	57547224	-	57547138	57547206	190.772603093611	0.9422132154261852	gex>0	17592	57538428	57547172
MYPOP	chr19	45890023	45902613	-	45902569	45902604	2.1143563063271698	0.680545320560059	gex>0	12591	45896318	45902586
GART	chr21	33503931	33543491	-	33542811	33542861	123.113201291141	0.9180790960451978	gex>0	39561	33523711	33542836
TEPSIN	chr17	81228277	81239091	-	81237478	81237528	0.480535524165267	0.6075288626873004	gex>0	10815	81233684	81237503
VWCE	chr11	61258286	61295316	-	61294976	61295091	0.480535524165267	0.6075288626873004	gex>0	37031	61276801	61295033
FBXO41	chr2	73254682	73284478	-	73284381	73284431	1.63382078216191	0.6671579464505035	gex>0	29797	73269580	73284406
BBS12	chr4	122732702	122744942	+	122732701	122732751	1.05717815316359	0.6474453451240482	gex>0	12241	122738822	122732726
RSRC1	chr3	158105855	158545730	+	158110067	158110138	687.358013765997	0.9861213461066076	gex>0	439876	158325792	158110102
DUSP22	chr6	291630	351355	+	292476	292528	382.314063025886	0.9711680176860722	gex>0	59726	321492	292502
ADCK1	chr14	77800109	77935014	+	77800082	77800132	7.400247072145111	0.7441660525669369	gex>0	134906	77867561	77800107
TMEM184C	chr4	147617386	147672044	+	147617382	147617435	45.3144999287846	0.8524932449029723	gex>0	54659	147644715	147617408
TBC1D22B	chr6	37257772	37332970	+	37257771	37257821	15.7615651926207	0.7861704740849914	gex>0	75199	37295371	37257796
B4GALT5	chr20	49632945	49713878	-	49713828	49713878	11.3406383703003	0.767563252272169	gex>0	80934	49673411	49713853
RBSN	chr3	15070073	15099163	-	15099113	15099163	27.6307926395028	0.8197924342913289	gex>0	29091	15084618	15099138
CHD4	chr12	6570082	6614524	-	6607374	6607424	39.980555610550205	0.8437423237533775	gex>0	44443	6592303	6607399
C8orf76	chr8	123219967	123241377	-	123231542	123231592	0.480535524165267	0.6075288626873004	gex>0	21411	123230672	123231567
ZNF528	chr19	52397849	52418412	+	52397848	52397898	4.03649840298824	0.7126934414148858	gex>0	20564	52408130	52397873
SMC5	chr9	70258978	70354873	+	70258961	70259011	35.5596287882297	0.8360353721444362	gex>0	95896	70306925	70258986
FSBP	chr8	94378377	94436952	-	94436902	94436952	66.12168812514071	0.8776099238516335	gex>0	58576	94407664	94436927
NDE1	chr16	15643267	15734691	+	15691241	15691291	1.05717815316359	0.6474453451240482	gex>0	91425	15688979	15691266
ZNF443	chr19	12429706	12441021	-	12440971	12441021	26.0450254097574	0.815985015966593	gex>0	11316	12435363	12440996
COPS4	chr4	83034447	83075818	+	83035170	83035223	73.0413996731205	0.8851940555146156	gex>0	41372	83055132	83035196
UBL5	chr19	9827892	9830115	+	9827891	9827941	193.944137553102	0.943195774993859	gex>0	2224	9829003	9827916
DDX50	chr10	68901286	68946847	+	68913426	68913476	2.59489183049244	0.6914455907639401	gex>0	45562	68924066	68913451
CYBC1	chr17	82442586	82450829	-	82450718	82450768	150.263458406479	0.928641611397691	gex>0	8244	82446707	82450743
FAM111B	chr11	59107185	59127412	+	59107236	59107286	5.86253339481625	0.7314541881601572	gex>0	20228	59117298	59107261
STAT6	chr12	57095408	57132139	-	57111324	57111374	513.115832703672	0.9794890690248096	gex>0	36732	57113773	57111349
TAF6	chr7	100106876	100119841	-	100119316	100119366	29.697095393413505	0.8240297224269222	gex>0	12966	100113358	100119341
FZR1	chr19	3506311	3538334	+	3522983	3523039	0.480535524165267	0.6075288626873004	gex>0	32024	3522322	3523011
RFFL	chr17	35005990	35089319	-	35089197	35089247	43.152090070040906	0.8489621714566445	gex>0	83330	35047654	35089222
UNG	chr12	109097597	109110992	+	109097573	109097623	134.598000318691	0.923268238761975	gex>0	13396	109104294	109097598
ACTR8	chr3	53867066	53882152	-	53882152	53882202	41.3260550782129	0.8457688528617048	gex>0	15087	53874609	53882177
P4HB	chr17	81843159	81860856	-	81860574	81860624	52.5705863436802	0.8622574306067305	gex>0	17698	81852007	81860599
BRD8	chr5	138139770	138178953	-	138165912	138166061	0.480535524165267	0.6075288626873004	gex>0	39184	138159361	138165986
MED20	chr6	41905354	41921139	-	41921089	41921139	144.929514088244	0.926922132154262	gex>0	15786	41913246	41921114
HSPA4L	chr4	127781821	127840733	+	127782321	127782371	85.1508948820852	0.896032915745517	gex>0	58913	127811277	127782346
MTHFD1	chr14	64388031	64463457	+	64388310	64388360	1718.0106059956602	0.9961311717022844	gex>0	75427	64425744	64388335
GNPDA2	chr4	44682200	44726588	-	44726520	44726595	45.3144999287846	0.8524932449029723	gex>0	44389	44704394	44726557
PPIB	chr15	64155740	64163134	-	64163155	64163205	30.177630917578696	0.8251043969540653	gex>0	7395	64159437	64163180
B3GNT2	chr2	62196115	62224731	+	62196112	62196162	283.131530838175	0.9602063375092116	gex>0	28617	62210423	62196137
ZNF555	chr19	2841437	2860471	+	2841443	2841493	22.296848321268396	0.8067428150331614	gex>0	19035	2850954	2841468
ANP32A	chr15	68778535	68820897	-	68820847	68820897	390.675381146362	0.971997052321297	gex>0	42363	68799716	68820872
CCDC71	chr3	49162535	49166331	-	49166271	49166321	17.2992788699496	0.7915745517071973	gex>0	3797	49164433	49166296
MAEA	chr4	1289887	1340147	+	1289886	1289936	226.62055319634	0.9501965119135348	gex>0	50261	1315017	1289911
WDR36	chr5	111092321	111130502	+	111092313	111092370	386.54277563854	0.9716285924834192	gex>0	38182	111111411	111092341
