gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex	DNase_gene_z_mean	DNase_gene_z_std	DNase_tss_z_mean	DNase_tss_z_std	H3K27ac_gene_z_mean	H3K27ac_gene_z_std	H3K27ac_tss_z_mean	H3K27ac_tss_z_std	H3K4me3_gene_z_mean	H3K4me3_gene_z_std	H3K4me3_tss_z_mean	H3K4me3_tss_z_std	H3K27me3_gene_z_mean	H3K27me3_gene_z_std	H3K27me3_tss_z_mean	H3K27me3_tss_z_std	H3K36me3_gene_z_mean	H3K36me3_gene_z_std	H3K36me3_tss_z_mean	H3K36me3_tss_z_std	H3K4me1_gene_z_mean	H3K4me1_gene_z_std	H3K4me1_tss_z_mean	H3K4me1_tss_z_std	H3K9me3_gene_z_mean	H3K9me3_gene_z_std	H3K9me3_tss_z_mean	H3K9me3_tss_z_std
IRF6	chr1	209785617	209806175	209806125	209806175	-		0.0052442364	0.03325136	0.038614098	0.061628167	0.68667513	3.5303156	1.0532541	1.4214978	0.2015554	0.8847512	1.0283439	1.2690591	-0.14863801	0.3140397	-0.32122707	0.022553006	1.1362039	2.454343	-0.50911295	0.097539276	0.49279967	1.5820371	1.2144156	1.2085562	-0.42681366	0.44780624	-0.6864631	0.12976961
TMEM53	chr1	44635238	44674481	44674412	44674462	-		0.024374757	0.053851675	0.1775825	0.26423305	-0.018830976	0.44774377	0.49416196	0.848011	-0.008332484	0.55615944	1.3040177	1.9543439	-0.27679247	0.08534867	-0.33687803	0.016503625	0.59373474	1.7920678	-0.55374503	0.07815026	0.11133781	1.4911443	1.3112766	1.7159338	-0.53574526	0.29534754	-0.7587504	0.14416769
C1QTNF12	chr1	1242446	1246722	1246672	1246722	-		0.07549615	0.05858501	0.1493153	0.08305262	-0.079518914	0.008481676	-0.08042103	0.0034474651	-0.05880203	0.013270706	-0.04887147	0.027538192	0.33670992	1.0912778	4.4964476	2.5475497	-0.14057541	0.44619706	-0.097337514	0.27738577	-0.1026795	0.16313913	-0.00039892658	0.22531448	-0.24590594	0.15331627	-0.0036361036	0.4645005
CLCNKA	chr1	16018875	16034050	16018874	16018924	+		0.033156186	0.114094354	0.03968756	0.016165415	-0.081956856	0.01820264	-0.09546991	0.0070980825	-0.060729768	0.03251816	-0.081434876	0.010017064	-0.02310513	0.38917163	-0.23097424	0.106145024	-0.23550512	0.26689127	-0.32473344	0.25411972	-0.11420167	0.19404957	-0.19439773	0.03305179	-0.27855235	0.31302387	-0.4299742	0.3874183
SESN2	chr1	28259518	28282491	28259526	28259576	+		0.0064006746	0.040489215	0.24561256	0.3213564	-0.06115213	0.124379836	0.13517983	0.24955906	0.2789573	1.3094294	0.2534675	0.61606205	-0.243167	0.097302236	-0.28768137	0.06146829	0.75367105	1.6873608	-0.32092386	0.39086574	8.865035e-05	0.6390153	1.5519576	1.6513941	-0.38897157	0.3639738	-0.6913483	0.12407237
HPCA	chr1	32885994	32898441	32886461	32886511	+		0.057789627	0.105911545	0.04989664	0.03670101	-0.09496927	0.014720116	-0.09705328	0.0063042296	-0.04856046	0.108065896	-0.081393406	0.01254521	0.6809608	1.5568459	1.7394522	1.4917045	-0.32225788	0.31570598	-0.48493242	0.07323544	0.029013643	0.61984146	-0.202354	0.044682067	-0.4540343	0.34018528	-0.41696513	0.44295132
PRAMEF13	chr1	13169015	13174236	13199539	13199589	-		-0.01112711	0.0018008584	-0.010489983	0.0027173292	-0.07892369	1.0940946e-08	-0.07892369	1.0940946e-08	-0.058195103	0.00069330586	-0.05806409	2.8934328e-09	-0.17358345	2.7542207e-08	-0.17358348	0.0	-0.2709989	0.11406174	-0.29283834	0.0	-0.14934404	8.467082e-08	-0.14934409	4.233541e-08	-0.18668981	0.037149526	-0.18052325	7.608344e-08
IPP	chr1	45694324	45750653	45750600	45750650	-		0.0008355504	0.05320848	0.45036516	0.6302496	0.10701535	2.0663788	4.463753	5.2616405	0.043822244	1.1568025	1.9452744	2.4203477	-0.20492738	0.1023457	-0.21969281	0.035366192	0.18295203	0.8811171	-0.24509226	0.24459092	-0.14165191	0.18528473	1.4322408	2.325087	-0.28324822	0.35976118	-0.20939882	0.37357697
SELE	chr1	169722640	169764705	169733610	169733660	-		-0.004777375	0.010624748	0.0029089632	0.014089273	-0.041238382	0.30450362	-0.07960532	0.025599426	-0.058174282	0.07308827	-0.020162435	0.079128176	0.07657695	0.6803594	0.33156514	0.60685855	-0.22000712	0.37371546	-0.03902364	0.5743905	0.1693827	1.0816514	2.4941053	2.1331978	-0.38833773	0.33948052	-0.40239668	0.24276735
SETDB1	chr1	150926263	150964744	150926344	150926394	+		-0.001822789	0.019706884	0.0974629	0.16802375	0.020806286	0.9478208	0.6770272	1.830778	0.27897626	2.5878944	3.5832767	3.7462206	-0.22387592	0.091880076	-0.25977626	0.14770618	2.037793	2.7709486	-0.45920393	0.20178466	-0.0860797	0.36302695	0.15359245	0.3100363	-0.25257754	0.5300339	-0.62550193	0.22976613
TNFRSF9	chr1	7915871	7943165	7940816	7940866	-		0.0051584817	0.03485829	0.03290435	0.052457843	-0.0885011	0.021259796	-0.08946879	0.015970604	-0.06708361	0.050354566	-0.07476958	0.018775605	1.1104515	2.0613558	3.009944	1.7105017	-0.26249576	0.3563238	-0.3740745	0.14753777	-0.04688541	0.4251504	0.5034697	0.750131	-0.39057398	0.3728771	-0.35365546	0.33076197
PRRC2C	chr1	171485530	171593511	171587661	171587711	+		-0.0040837275	0.011860249	-0.006181012	0.0072817393	0.040283415	1.1455925	-0.08114346	0.021339897	0.16136432	1.9735374	-0.05486745	0.031009946	-0.22823021	0.084534526	-0.23159437	0.055341844	2.8438435	3.5243685	6.345937	5.6119733	0.05431506	1.0394151	-0.17734833	0.03605889	-0.28700745	0.42845356	-0.16012794	0.48199832
TAL1	chr1	47216290	47232225	47229721	47229771	-		0.054462988	0.060773853	0.05996108	0.04566975	1.4860476	2.7966242	5.8515134	1.0999305	2.558209	4.9041038	14.325759	5.696638	-0.28875977	0.10750021	-0.23474658	0.19641735	1.4556727	2.3538916	-0.1721501	0.59363943	1.5272655	2.6913052	0.4331352	0.4801585	-0.6043374	0.26312348	-0.6507642	0.21557869
PPM1J	chr1	112709994	112715332	112715278	112715328	-		0.04509187	0.08090545	0.40032482	0.39434412	-0.10008251	0.010729473	0.08138969	0.14700639	0.07428736	0.45700353	2.4113579	1.6579181	-0.2480261	0.12694238	-0.33832183	0.01802939	-0.39808795	0.2478471	-0.54586226	0.07332318	-0.001106309	0.55334294	2.6925168	2.6140103	-0.65987927	0.19370429	-0.758317	0.14436461
ATP1A2	chr1	160115759	160143591	160127671	160127721	+		0.0065534925	0.015183281	-0.00053212297	0.012052916	-0.095458575	0.01260602	-0.099617116	0.006491201	-0.08115167	0.014071785	-0.08661655	0.009866571	0.3519673	0.86464214	0.016357234	0.40851656	-0.32409674	0.2934762	-0.41787338	0.20956552	-0.19657284	0.076030836	-0.2220878	0.023818681	-0.49475807	0.2970161	-0.63695	0.17805359
CDC20	chr1	43358981	43363203	43359012	43359062	+		0.03566035	0.049178224	0.2755395	0.25316727	0.07075806	0.26953936	2.6262822	3.1799486	2.0127623	2.8630283	5.117552	4.4033623	-0.29382506	0.052837744	-0.30485457	0.042563263	2.1647584	3.1574864	-0.4729885	0.10897177	1.8164567	1.6047311	1.0011946	1.5555577	-0.4211487	0.4359993	-0.63279605	0.21276705
MARK1	chr1	220528136	220664461	220528556	220528606	+		-0.0025600153	0.023510594	0.19538173	0.12892896	-0.07971268	0.04160302	0.15609875	0.22887021	-0.032912053	0.329905	4.1299505	2.850497	-0.20298064	0.12517184	0.31361237	0.9526234	0.007891361	0.67218995	-0.3515164	0.19997051	-0.10579552	0.28713563	0.6210697	0.8177032	-0.28322327	0.43373716	-0.54464453	0.29965416
RNF19B	chr1	32936445	32964809	32964635	32964685	-		0.017562369	0.06576111	0.34161308	0.42887262	0.17597239	0.60928607	0.2512408	0.5584603	0.30635494	1.4842093	0.9444431	1.0675192	-0.28793028	0.06009193	-0.30677396	0.07844087	0.9682153	2.1842844	-0.53656876	0.062314194	1.1692643	2.6111615	0.45178294	0.8332132	-0.5160748	0.34241685	-0.7610191	0.14456066
CPTP	chr1	1324756	1328896	1324766	1324816	+		0.10247592	0.15052105	0.4007968	0.44097355	0.15220231	0.58448684	0.548985	1.0620915	0.65008193	1.575331	1.0080673	1.5189167	-0.28477702	0.036431465	-0.31122822	0.026460567	0.1785681	0.7667831	-0.53313565	0.048230477	0.4791929	0.97520345	-0.08095132	0.31327492	-0.536386	0.22023608	-0.6752059	0.13064955
ADORA1	chr1	203090654	203167405	203128305	203128355	+		0.009641204	0.02604445	0.029326249	0.02382359	-0.06800563	0.20316666	-0.09892919	0.0039479122	-0.07008547	0.04693751	-0.02528181	0.07617121	1.1407827	1.7776747	5.349652	3.8061032	-0.29138014	0.32984212	-0.4659621	0.101022616	0.07535762	1.3286602	0.51889694	0.7690279	-0.3563773	0.55441767	-0.5898685	0.21479453
PMF1-BGLAP	chr1	156212982	156243332	156212981	156213031	+		0.02110111	0.08592232	0.23151323	0.40707132	0.41445604	2.678679	1.5226328	2.9715004	0.21427426	1.7042924	1.4236804	1.7078078	-0.27394634	0.071202904	-0.31893948	0.01742423	0.5424643	1.6005349	-0.21590051	0.41631874	0.3160171	1.5735551	1.8335369	2.6712773	-0.49980828	0.33135664	-0.7162741	0.08306376
DNAH14	chr1	224896262	225399292	224929666	224929716	+		-0.006307606	0.012957432	0.04544303	0.110903636	-0.07972737	0.04677392	0.10729248	0.25887033	-0.054507703	0.15575884	1.2342322	1.5021558	-0.043230686	0.44378263	-0.14396964	0.1806777	-0.13770486	0.43707788	-0.17491768	0.34394938	-0.14517498	0.19169588	0.91227806	1.3686651	-0.14107147	0.5625262	-0.34809196	0.40266204
UBE2U	chr1	64203623	64267368	64203626	64203676	+		-0.00268858	0.013802757	0.012866835	0.011034571	-0.07895503	0.03848449	-0.0924356	0.018455865	-0.055691544	0.10236879	-0.07895238	0.015029551	0.53738654	0.9964152	-0.0639402	0.30682182	-0.17694303	0.3833128	-0.3734804	0.28349152	-0.053155918	0.5137264	-0.21035966	0.040487807	-0.26909587	0.4271746	-0.46612126	0.3786459
CEP104	chr1	3812086	3857396	3857164	3857214	-		0.019349128	0.09116714	0.4360907	0.43998912	-0.072364055	0.15222311	0.60645866	1.1356308	0.025401771	0.78300595	5.312695	4.3669186	-0.25249487	0.0753459	-0.30365813	0.042438906	0.61832464	1.4130715	-0.4521129	0.13419133	-0.1328566	0.3581493	0.7469409	1.1400038	-0.353024	0.44926292	-0.6871134	0.09836194
DARS2	chr1	173824653	173858808	173840912	173840962	+		0.002353748	0.041559663	-0.006554043	0.006269562	0.5740759	2.9869528	-0.09199961	0.011594841	0.49896625	3.948029	-0.053216305	0.04119466	-0.22949658	0.11112439	-0.25324407	0.07164002	1.2778008	2.2604277	2.061411	2.9853609	0.16174158	1.0851158	-0.19531475	0.041197363	-0.38418645	0.35683113	-0.47077885	0.2506551
RNF207	chr1	6205475	6221299	6206128	6206178	+		0.046831872	0.097320035	0.22603177	0.21311796	-0.08953033	0.032205567	0.1442368	0.3192127	0.033529494	0.42735934	0.79500633	0.9725249	-0.060273144	0.71629757	0.2722406	0.51889586	-0.21604696	0.54057306	-0.18280414	0.28298947	0.19282535	1.116604	2.0929024	1.548978	-0.46501842	0.35556746	-0.19986868	0.4706637
BMP8B	chr1	39757182	39788865	39788811	39788861	-		0.0070123747	0.035311934	0.15940261	0.18018034	-0.076879285	0.040155858	-0.08256847	0.0073774895	-0.06423291	0.016271865	0.12097144	0.22527876	0.065521315	0.80924577	4.366204	3.9574518	-0.2309442	0.33737323	-0.1142079	0.3032352	-0.13359523	0.19654822	0.47271094	0.7299196	-0.2593084	0.2899695	-0.27241933	0.21381988
VTCN1	chr1	117143587	117210960	117173216	117173266	-		-0.0023352993	0.010379593	-0.0049933773	0.009606168	-0.086653136	0.015344734	-0.092346564	0.007986854	-0.06810086	0.020668333	-0.075718924	0.0123038385	0.24875014	0.73018324	-0.07124078	0.22163337	-0.23638538	0.31004372	-0.07522573	0.3815704	-0.16655377	0.09691855	-0.195829	0.029596938	-0.29676083	0.4137631	-0.4661607	0.19717386
GABPB2	chr1	151070578	151125542	151070776	151070826	+		-0.001846423	0.03366027	0.10186326	0.1074005	0.16291827	2.2983565	9.893566	9.899262	0.030502072	0.90146303	3.3907642	4.100759	-0.22131374	0.07742771	-0.3465393	0.015823225	-0.07661286	0.5562956	-0.5669153	0.107625775	-0.030641947	0.87496936	-0.033583157	0.27765667	-0.3544943	0.29931507	-0.8515733	0.086066954
NOS1AP	chr1	162069691	162370475	162070089	162070139	+		0.00095104345	0.026127366	0.22353478	0.21478717	-0.014134443	0.82649815	0.045414105	0.20034447	-0.061974224	0.14379098	2.7570295	1.3338249	-0.20322983	0.19639407	-0.18096916	0.21116371	-0.17540553	0.4760587	-0.35723132	0.19168168	0.18693498	1.4826188	0.37233114	0.8058229	-0.35660607	0.46674964	-0.47271994	0.18859176
EPHA10	chr1	37713880	37765133	37765083	37765133	-		0.015337134	0.051937614	0.023053072	0.016430395	-0.08878735	0.011276818	-0.09864543	0.0062669986	-0.06676332	0.03528603	-0.08060009	0.01917674	0.8033101	2.1081598	5.868778	3.5736842	-0.26333413	0.2908776	-0.2994111	0.24421266	-0.16609715	0.13556188	-0.18682608	0.102941364	-0.31128603	0.41314998	-0.6078656	0.19895253
SRGAP2	chr1	206203346	206464436	206440060	206440081	+		-0.007239755	0.015802423	-0.0030532235	0.008596733	-0.055376597	0.19140597	-0.07002966	0.035162274	-0.061293367	0.02284813	-0.07794019	0.016734138	-0.19646783	0.05301529	-0.20944196	0.13300106	0.19026414	1.4041381	3.7562406	2.3688657	0.007317083	0.8677479	-0.15992616	0.11530572	-0.25085905	0.21036318	-0.5477458	0.17008366
SZT2	chr1	43389882	43454247	43389904	43389954	+		0.010932954	0.04695028	0.1752149	0.19631517	-0.003886738	0.44475803	1.8526025	1.8708961	0.25021645	2.270651	11.682859	6.840245	-0.29006943	0.06349097	-0.2318812	0.14008223	1.1211202	1.91521	-0.40852517	0.22233485	0.05766007	0.741609	0.68112844	1.2827741	-0.5605646	0.31862858	-0.7358954	0.1708479
NR5A2	chr1	200027614	200177420	200027882	200027911	+		0.0037599753	0.030631494	0.012572881	0.017355617	0.016113311	0.9557797	-0.08249788	0.00660823	0.04840176	0.6830895	-0.0581491	0.023400176	1.3157407	4.4520717	2.358692	1.9038433	-0.020344904	0.6165359	0.45616922	0.82803905	0.16420221	1.1899258	-0.12606046	0.08514128	-0.36407164	0.36383903	-0.1677181	0.48591688
PMVK	chr1	154924740	154936719	154936941	154936991	-		0.008035034	0.050403643	0.42651358	0.3067739	-0.0008575185	0.54965794	13.457811	9.090557	0.17480753	1.2486373	3.726927	2.3162284	-0.29135734	0.03978567	-0.3487497	0.008033022	0.11050664	0.948405	-0.57234716	0.066181906	-0.12359383	0.33767983	1.1283976	1.760595	-0.5751176	0.20437643	-0.8516623	0.083011806
LHX8	chr1	75128434	75161533	75128433	75128483	+		0.0041475575	0.018875448	0.013826069	0.012703409	-0.087409705	0.015573117	-0.094648436	0.0033725076	-0.060913336	0.040294476	-0.04880766	0.057831306	7.7528853	9.626589	17.835775	5.289052	-0.22233139	0.33991408	-0.34513882	0.20625138	-0.117628515	0.19707437	-0.09799674	0.20161878	-0.26710847	0.4606625	-0.00927556	0.6698722
LCE3C	chr1	152600234	152601086	152600661	152600711	+		0.00020015377	0.010719985	0.0014624767	0.008634671	-0.09698194	0.0054798727	-0.09530316	0.0066634943	-0.07825245	0.019956974	-0.0382338	0.082751825	-0.28158048	0.037159458	-0.27342898	0.04349217	-0.43931523	0.08152213	-0.3317919	0.1843769	-0.21199597	0.02084516	-0.20707917	0.024615906	1.066005	0.93990314	1.5045646	1.5306674
OR10R2	chr1	158472220	158480936	158479877	158479927	+		-0.007667186	0.005767559	-0.007627482	0.005395833	-0.08414471	0.009011275	-0.07920678	0.0022757475	-0.06260676	0.020865386	-0.058900096	0.0015741374	-0.06938306	0.3259748	-0.13040929	0.11485402	-0.15267234	0.36073574	-0.1425158	0.2630346	-0.16164875	0.045738988	-0.14934409	4.233541e-08	-0.016175719	0.62743145	0.2530008	0.6170772
RNF115	chr1	145738868	145824095	145773793	145773843	-		-0.0017503239	0.023749774	-0.0029530893	0.009724424	0.07803816	0.95464915	-0.087377235	0.013870447	-0.0398932	0.23540059	-0.077326484	0.01666651	-0.20622562	0.12709431	-0.25873116	0.073051415	0.7316088	1.7764968	1.1264553	1.470456	0.22344011	1.4139792	-0.10717721	0.099844106	-0.14305277	1.061967	-0.42913616	0.3207224
LURAP1	chr1	46203334	46221256	46203333	46203383	+		0.009534116	0.043228414	0.119358025	0.13205831	-0.07975559	0.062042903	-0.05405791	0.11198723	0.2345721	1.4729201	1.6022334	2.301859	-0.24162185	0.09785474	-0.2574103	0.079429105	-0.18244103	0.42403212	-0.25696576	0.19909479	-0.050956804	0.43588594	0.24303854	0.6524329	-0.43999207	0.3362587	-0.588086	0.12500958
NENF	chr1	212432920	212446379	212432972	212433022	+		0.020938044	0.13204546	0.32144606	0.5044776	-0.09026188	0.018976921	0.06718151	0.22483699	0.027920978	0.50754994	0.98246795	1.3027157	-0.26097414	0.0718843	-0.26546293	0.05540541	-0.17361486	0.47939837	-0.13352911	0.35613018	-0.15949692	0.14394936	1.4805323	2.087387	-0.48467535	0.28644413	-0.5099604	0.18332769
